gene,inferred_threshold,ci_95_lower,ci_95_upper,mean_expression,median_expression
RP11-40C6.2,2.7937999963760376,2.752650022506714,4.863236373662948,2.3097134057971016,7.3277
AC009065.4,-6.215850114822388,-6.215850114822388,-5.557190132886174,-3.9012760869565213,-0.60795
MMP12,-2.486050009727478,-3.1064499616622925,-1.848000019788742,-3.2191264492753624,-2.4860499999999996
MISP,1.7263000011444092,1.319111267477274,2.2176762662827967,1.6940539855072463,2.62515
UBE2SP2,-2.427150011062622,-2.468150019645691,-2.355299949645996,-2.820516304347826,0.7013499999999999
HMGN1P37,-6.17710018157959,-6.17710018157959,-6.039900183677673,-3.438078985507247,-0.2771
S100A6,9.432549953460693,9.29539966583252,9.844700336456299,8.94096195652174,8.9026
RP11-10G12.1,-2.8371999263763428,-5.802600145339966,-2.7935999035835266,-3.0589913043478263,-0.016649999999999998
RPL37P6,-3.142099976539612,-6.396000146865845,-3.141496220231056,-3.196605434782609,-0.39715
FTH1P7,3.001,1.57776375,3.8218,2.6718858695652172,3.001
EEF1A1P12,-0.47695,-1.8854562499999998,0.099,-1.1860782608695652,-0.47695
RP11-215A21.2,0.35155000000000003,-0.8599,0.7581462499999999,-0.4688423913043477,0.35155000000000003
NDUFA13,7.36925,6.4343375,7.97342625,7.086505072463768,7.36925
RPS28P7,9.2358,8.56262125,9.479754999999999,8.888472101449276,9.2358
PTENP1,0.13190000000000002,-0.748915,0.7036162499999998,-0.07171521739130436,0.13190000000000002
PPIAP22,5.890000000000001,4.7656,7.02967625,5.76218115942029,5.890000000000001
AC000089.3,-0.020550000000000002,-0.63107875,0.65638,-0.2523307971014493,-0.020550000000000002
HNRNPCP2,2.1052999999999997,-0.18770874999999998,2.7889,1.108949275362319,2.1052999999999997
HNRNPA1P4,-2.21575,-3.42228,-1.0862,-4.066896014492754,-2.21575
FTH1P20,1.9279,0.8205975,2.5268,1.8038539855072464,1.9279
CD63,9.381599999999999,8.85940875,10.17122,9.41358768115942,9.381599999999999
LGALS3BP,7.15465,5.9019200000000005,8.131417500000001,6.705206521739131,7.15465
ATP5L,7.307,6.624495,8.001685,7.163418478260869,7.307
HLA-A,8.6094,7.064392499999999,9.5514,7.983535869565217,8.6094
MMP9,0.2572,-1.3605325,2.2633,0.5118326086956522,0.2572
EEF1A1P9,-0.5973,-1.5150112500000001,0.005179999999999938,-1.015070652173913,-0.5973
GAPDH,10.0609,8.802,10.662745,9.513959420289854,10.0609
MDK,6.66995,4.64807875,7.48018125,5.886893115942029,6.66995
NDUFC2,6.74885,5.946701249999999,7.2158662499999995,6.475679710144928,6.74885
CORO2A,0.0466,-1.3183,2.4028899999999993,0.3138144927536232,0.0466
ATOX1,6.010199999999999,4.96763375,6.666752499999999,5.625224275362319,6.010199999999999
RP11-641D5.1,7.2333,6.546749999999999,7.66534,6.9281644927536234,7.2333
COX7B,5.93845,5.0984725,6.47894,5.620092391304349,5.93845
OCIAD2,5.82165,4.37097125,6.604053749999999,5.7097264492753625,5.82165
