cell_type,gene,mean_expression,percent_expressing_fraction,n_cells
B cells,MISP,2.7072079181671143,0.5714285714285714,7
B cells,OCIAD2,2.204721689224243,0.42857142857142855,7
B cells,MMP12,0.0,0.0,7
B cells,CCNB1,1.3958288431167603,0.2857142857142857,7
B cells,AGR2,0.734097957611084,0.14285714285714285,7
B cells,PLAC8,2.010892868041992,0.42857142857142855,7
B cells,LAMA3,2.782003164291382,0.5714285714285714,7
B cells,CEACAM5,0.6757949590682983,0.14285714285714285,7
B cells,MMP9,0.0,0.0,7
B cells,CST1,2.010892868041992,0.42857142857142855,7
B cells,GRN,2.8057215213775635,0.5714285714285714,7
B cells,RCN1,4.911929607391357,1.0,7
B cells,CTTN,3.4437336921691895,0.7142857142857143,7
B cells,SDC1,3.4437336921691895,0.7142857142857143,7
B cells,TPX2,0.73652583360672,0.14285714285714285,7
B cells,TOP2A,1.3958288431167603,0.2857142857142857,7
B cells,PTPRR,0.6593028903007507,0.14285714285714285,7
B cells,ETV1,0.6593028903007507,0.14285714285714285,7
B cells,DOCK5,1.37211012840271,0.2857142857142857,7
B cells,EDIL3,0.0,0.0,7
B cells,DNTTIP1,3.5020365715026855,0.7142857142857143,7
B cells,DSG2,3.4413058757781982,0.7142857142857143,7
B cells,CAPN9,0.734097957611084,0.14285714285714285,7
B cells,ANKLE2,2.0314128398895264,0.42857142857142855,7
B cells,CDH3,1.3350979089736938,0.2857142857142857,7
B cells,COL17A1,2.0314128398895264,0.42857142857142855,7
B cells,DPCR1,2.010892868041992,0.42857142857142855,7
B cells,COLGALT1,2.8262417316436768,0.5714285714285714,7
B cells,LMNB1,0.73652583360672,0.14285714285714285,7
B cells,UACA,3.5020365715026855,0.7142857142857143,7
B cells,SPARC,2.822213649749756,0.5714285714285714,7
B cells,NT5C2,1.37211012840271,0.2857142857142857,7
B cells,TXN,2.4019246101379395,0.42857142857142855,7
B cells,PLS1,2.7072079181671143,0.5714285714285714,7
B cells,RNF145,4.177832126617432,0.8571428571428571,7
B cells,LOXL1,2.1299266815185547,0.42857142857142855,7
B cells,SLC16A1,1.37211012840271,0.2857142857142857,7
B cells,CLDN12,3.4413058757781982,0.7142857142857143,7
