Perturbation_A,Perturbation_B,ROC_AUC_discovery,ROC_AUC_validation
-0.5,-0.5,0.9841552849357463,0.8712283202660964
-0.5,-0.25,0.9848280966157571,0.8667141838916607
-0.5,-0.1,0.9850299401197603,0.8631503920171062
-0.5,0.0,0.9850635807037609,0.8619624613922547
-0.5,0.1,0.9852317836237635,0.8614872891423141
-0.5,0.25,0.9852990647917647,0.8593490140175815
-0.5,0.5,0.9852990647917645,0.8569731527678783
-0.25,-0.5,0.9835497544237366,0.872416250890948
-0.25,-0.25,0.9843234878557491,0.8717034925160371
-0.25,-0.1,0.984760815447756,0.8719410786410074
-0.25,0.0,0.9847944560317566,0.8702779757662154
-0.25,0.1,0.9848617371997577,0.870040389641245
-0.25,0.25,0.9848953777837581,0.867664528391542
-0.25,0.5,0.9850299401197603,0.8664765977666905
-0.1,-0.5,0.9832469891677318,0.874792112140651
-0.1,-0.25,0.9842225661037474,0.8738417676407699
-0.1,-0.1,0.9843907690237501,0.8724162508909479
-0.1,0.0,0.9847608154477561,0.8731290092658588
-0.1,0.1,0.984760815447756,0.8731290092658589
-0.1,0.25,0.9848617371997577,0.8719410786410073
-0.1,0.5,0.9848953777837581,0.8688524590163934
0.0,-0.5,0.9831460674157302,0.8743169398907104
0.0,-0.25,0.9841216443517458,0.8740793537657401
0.0,-0.1,0.9843234878557491,0.8728914231408886
0.0,0.0,0.9844916907757517,0.8731290092658589
0.0,0.1,0.9847944560317565,0.8738417676407698
0.0,0.25,0.9848280966157571,0.8728914231408885
0.0,0.5,0.9848617371997577,0.8719410786410073
0.1,-0.5,0.982944223911727,0.8755048705155619
0.1,-0.25,0.9840207225997442,0.8738417676407698
0.1,-0.1,0.9842898472717485,0.8745545260156807
0.1,0.0,0.9843907690237501,0.8736041815157994
0.1,0.1,0.9847271748637555,0.8738417676407698
0.1,0.25,0.984760815447756,0.8736041815157994
0.1,0.5,0.9848617371997577,0.8733665953908292
0.25,-0.5,0.9828769427437258,0.8759800427655025
0.25,-0.25,0.9839198008477426,0.8743169398907104
0.25,-0.1,0.9842225661037474,0.8740793537657401
0.25,0.0,0.9843234878557491,0.8752672843905916
0.25,0.1,0.9844244096077506,0.874792112140651
0.25,0.25,0.9847944560317565,0.8738417676407698
0.25,0.5,0.9848617371997577,0.8733665953908292
0.5,-0.5,0.9827760209917242,0.8757424566405323
0.5,-0.25,0.9836506761757382,0.8745545260156806
0.5,-0.1,0.9840880037677453,0.8740793537657401
0.5,0.0,0.9842562066877479,0.874792112140651
0.5,0.1,0.9843571284397495,0.8759800427655025
0.5,0.25,0.9845589719437529,0.8752672843905915
0.5,0.5,0.9848617371997577,0.8738417676407698
