gene,mean_pdac_val,mean_normal_val,log2fc_val,p_value_val,auc_val,fdr_val
1060P11.3,3.699038053830228,3.8476276814988286,-0.1485896276686005,0.00010989912964726132,0.2981705868377287,0.000508750819332138
A1BG,4.429204347826087,4.527209672131147,-0.09800532430505982,0.0035215446632118515,0.3494891898313139,0.008779939910036977
A1CF,3.7207527536231884,4.482273770491803,-0.7615210168686146,1.5561751359103115e-07,0.23924922784509386,2.34752422651689e-06
A2M,9.076359420289856,8.943423934426232,0.1329354858636247,0.3163477024874334,0.5224518888096936,0.38984124524742053
A2ML1,3.7792944927536234,3.1263388524590163,0.6529556402946071,6.500486326242882e-06,0.6911380375386077,5.021835011476041e-05
A3GALT2,2.8052676811594206,2.970590491803278,-0.16532281064385757,0.0001308256287798632,0.30672368733665956,0.0005870132464072686
A4GALT,5.228744782608695,5.055892459016395,0.1728523235923003,0.005350028618433088,0.6350677120456165,0.012380451463965417
A4GNT,2.8415894202898553,2.82518262295082,0.016406797339035162,0.8459938006083216,0.42979330007127586,0.8769453279560687
AAAS,5.564797681159421,5.5793465573770495,-0.014548876217628681,0.8064637948562412,0.4689950106913756,0.8438844574445173
AACS,5.078850144927536,4.982101803278688,0.09674834164884771,0.12792503832002128,0.6051318602993585,0.1801650206111771
AADAC,3.44360652173913,3.5765513114754097,-0.13294478973627966,0.5542273061292413,0.4727963886909004,0.622401123091355
AADACL2,2.270036086956522,2.3790600000000004,-0.10902391304347825,0.005058774672581125,0.38631503920171056,0.011821339927060776
AADACL3,3.100861884057971,3.2022057377049182,-0.10134385364694731,0.041258255662663404,0.4029460679496318,0.06879700633713372
AADACL4,2.3714342028985507,2.535322459016393,-0.16388825611784252,0.0005245360804429843,0.33404609170824423,0.0018193679932549012
AADAT,3.6625265217391303,3.7425152459016395,-0.07998872416250924,0.16893653235034403,0.4293181278213352,0.22849668379227342
AAED1,4.621217246376812,4.548428032786886,0.0727892135899264,0.24374657351932896,0.5414587788073176,0.3126992885676896
AAGAB,5.418442318840579,5.3153321311475406,0.10311018769303804,0.014689798844414802,0.6234259919220718,0.028807847674983265
AAK1,6.032068985507246,6.05897024590164,-0.026901260394393667,0.665760988537313,0.43597053932050367,0.7228974624748601
AAMDC,4.064235652173913,4.148397704918033,-0.08416205274412025,0.0726786914065796,0.4138750296982656,0.110860516883807
AAMP,5.744369710144927,5.519517868852459,0.22485184129246782,0.0008865057702574886,0.6678545972915181,0.0027987334157923843
AANAT,3.857689130434783,4.061178524590164,-0.20348939415538103,0.00039345978976526857,0.3188405797101449,0.0014419890389656773
AAR2,4.930900144927537,4.9071509836065585,0.023749161320978374,0.4893516210493024,0.5428842955571395,0.5622343754077654
AARD,3.185531304347826,3.347942459016394,-0.16241115466856781,0.00024626123041076464,0.3114754098360656,0.000976598610607955
AARS,6.94784420289855,6.9097457377049185,0.0380984651936318,0.4728536020000488,0.5412211926823474,0.5464808528314639
AARS2,4.0597,4.015296229508197,0.04440377049180366,0.23011445174939324,0.562128771679734,0.29773475927187015
AASDH,4.700735507246377,4.618313606557377,0.0824219006889999,0.19556611899595697,0.5735329056783084,0.2593932151897173
AASDHPPT,4.025693768115942,4.117007459016394,-0.09131369090045194,0.008844057668092816,0.38346400570206696,0.01883800293204777
AASS,6.390150144927537,6.63909786885246,-0.24894772392492293,0.006570012688295872,0.37182228557852226,0.014733179798652728
AATBC,3.188861884057971,3.1913657377049187,-0.002503853646947718,0.9632176738904071,0.5127108576859112,0.9716699344813059
AATF,5.9761173913043475,5.853098360655737,0.12301903064861008,0.004810908413258718,0.6380375386077453,0.011340160380675717
AATK,4.45249811594203,4.817709836065574,-0.3652117201235443,8.804344808411264e-08,0.2461392254692326,1.4676109100220874e-06
AATK-AS1,3.8147972463768123,3.9468673770491804,-0.13207013067236817,0.005408139632956819,0.3896412449512948,0.012487477441767893
ABAT,4.931970289855072,5.837397213114755,-0.9054269232596832,3.4111938481954543e-09,0.21525302922309336,1.0401541241685011e-07
ABCA1,6.40677652173913,5.883414754098361,0.5233617676407691,5.752737139268754e-05,0.694464243288192,0.0002998228269848694
ABCA10,4.275374202898552,4.786402786885245,-0.5110285839866924,0.00016635781070847738,0.3012592064623426,0.0007121653517824758
ABCA11P,4.5238767391304355,4.6157186885245896,-0.09184194939415402,0.09384207126495517,0.4221905440722262,0.13813547365611142
ABCA12,3.318270434782609,2.7984822950819668,0.5197881397006423,2.0197543981218256e-07,0.7864100736516988,2.8961395860667296e-06
ABCA13,3.3453152173913048,2.9970711475409835,0.3482440698503213,0.0001517547240706589,0.7453076740318365,0.0006609078479393403
ABCA2,5.136599999999999,5.08984213114754,0.046757868852458806,0.3507694266186744,0.5528629128058922,0.4246726086825653
ABCA3,3.860274057971014,4.1935580327868855,-0.33328397481587135,2.0845815136209204e-09,0.19957234497505344,6.972890303839343e-08
ABCA4,2.9920485507246375,3.0567745901639345,-0.064726039439297,0.03531037983211588,0.42219054407222617,0.0603377351599021
ABCA5,5.9011243478260855,6.607070983606558,-0.7059466357804727,1.7423798757233874e-07,0.23758612497030177,2.572693833104575e-06
ABCA6,5.273710579710145,5.4139775409836055,-0.1402669612734604,0.398644599988053,0.4675694939415538,0.47419647559235395
ABCA7,4.502331304347826,4.501494262295082,0.0008370420527441524,0.9824066551097159,0.5136612021857923,0.9867476938066606
ABCA8,4.711086956521739,5.315849016393443,-0.6047620598717041,0.0016509669520974866,0.32763126633404605,0.004713715664117332
ABCA9,4.886062608695652,5.0832308196721305,-0.19716821097647852,0.22864985530973858,0.4545022570681873,0.29619049094964855
ABCB1,4.765646811594203,4.986580655737706,-0.22093384414350314,0.09824028902593722,0.43288191969588974,0.14367813068729524
ABCB10,4.721754492753623,4.62364868852459,0.09810580422903215,0.033133664178819126,0.6277025421715372,0.05719967934486226
