gene,importance_l1,rank_l1,importance_rf,rank_rf,importance_xgb,rank_xgb,log2fc,auc,log2fc_val,auc_val,stability_score,rank_score_l1,rank_score_rf,rank_score_xgb,model_consensus_score,consensus_score
MISP,0.41298381652562893,1,0.0295916220576349,5,0.453004,1,7.767093157505214,0.9963668169279419,0.6659791732002853,0.8246614397719174,0.9105141112394345,0.9988738738738738,0.9943693693693694,0.9988738738738738,0.9973723723723724,0.9539432418059035
MMP12,0.2720091912899475,2,0.018768548900446744,18,0.04024303,3,11.282721984121643,0.9979983852519679,1.4072152791636978,0.8111190306486101,0.9045586969133734,0.9977477477477478,0.9797297297297297,0.9966216216216216,0.9913663663663663,0.9479625316398699
LAMA3,0.0,35,0.0005240616071335506,81,0.0012821412,35,5.364946686402476,0.9883435376438136,1.241862988833451,0.8990258968876218,0.9436847172657116,0.9605855855855856,0.9087837837837838,0.9605855855855856,0.9433183183183184,0.943501517792015
CEACAM5,0.24850771634878305,3,0.00037405729111356556,98,0.009501049,9,10.462945828567584,0.9664771580434636,2.794674587788072,0.8648134948918983,0.9156453264667646,0.9966216216216216,0.8896396396396397,0.9898648648648649,0.9587087087087087,0.9371770175877366
MMP9,0.19833089869489695,5,0.00964150353854659,40,0.015149248,7,7.7557273497947925,0.9973255735719573,0.7886111712995953,0.7697790449037777,0.8835518916909881,0.9943693693693694,0.954954954954955,0.9921171171171171,0.9804804804804804,0.9320161860857343
CST1,0.22536419084556725,4,0.00025494084788241797,124,0.0012592678,37,13.968350481060352,0.9902274103478437,1.6511105298170579,0.8168210976478973,0.903524251906935,0.9954954954954955,0.8603603603603603,0.9583333333333334,0.9380630630630632,0.9207936574849991
RCN1,0.0,54,0.010003859652492786,23,0.0072265593,12,3.24744221893292,0.992935477359887,0.5799790354003314,0.7462580185317178,0.8695866083030006,0.9391891891891891,0.9740990990990991,0.9864864864864865,0.9665915915915916,0.9180890999472962
GRN,0.0,143,0.0006644507993732552,74,0.017589133,5,3.5322372199421377,0.9967368633519478,0.507347327156098,0.7574245664053219,0.8770709091644425,0.838963963963964,0.9166666666666666,0.9943693693693694,0.9166666666666666,0.8968687879155546
DSG2,0.0,77,0.00921832011652371,58,0.0,61,2.7126503263136654,0.9749714055035995,0.9038223853646921,0.7555238774055594,0.8652154279454114,0.9132882882882883,0.9346846846846847,0.9313063063063063,0.9264264264264265,0.895820927185919
SPARC,0.0018371042621512402,30,0.009321541683824165,54,0.0,133,5.418763079459057,0.990176949471843,1.0341804941791395,0.7329531955333808,0.861560339732826,0.9662162162162162,0.9391891891891891,0.8502252252252253,0.9185435435435435,0.8900519416381847
ANKLE2,0.0,90,0.0005709306976684475,76,0.0,70,1.3917286785978602,0.9360997106909776,0.5283633594678063,0.7942504157757188,0.8651749413750026,0.8986486486486487,0.9144144144144144,0.9211711711711712,0.9114114114114115,0.888293176393207
CTTN,0.0,153,0.00034240910444304813,106,0.0017601902,26,1.2410260983650678,0.9113234205745812,0.7262719695889732,0.8412924685198384,0.8763079441561096,0.8277027027027027,0.8806306306306306,0.9707207207207207,0.8930180180180182,0.8846629810870639
DOCK5,0.0,72,0.00034240910444304813,105,0.0,94,1.6909766601628202,0.9018199555944291,0.7854558873841766,0.8344024708956997,0.8681112129743265,0.918918918918919,0.8817567567567568,0.8941441441441441,0.8982732732732733,0.8831922431238
COLGALT1,0.0,44,0.00016971279001793925,156,0.0,66,2.2261606506088936,0.9704803875395277,0.5487717201235451,0.7605131860299358,0.8654962774190975,0.9504504504504504,0.8243243243243243,0.9256756756756757,0.9001501501501501,0.8828232137846238
LMNB1,0.0,88,0.018981954441701435,17,0.0,156,3.5605079055372397,0.9865942272757855,0.5077915395580916,0.7372297457828463,0.8618665117718948,0.9009009009009009,0.9808558558558559,0.8243243243243243,0.9020270270270271,0.8819467693994609
FBXL2,0.0,64,0.00019875943387168016,148,0.0,86,1.7676454921617437,0.9202886362107247,0.6144281492040875,0.8172962698978379,0.8687924510595698,0.9279279279279279,0.8333333333333334,0.9031531531531531,0.8881381381381382,0.878465294598854
NT5C2,0.0,149,0.0001520011394388265,164,0.003012118,21,1.5719069871492972,0.9475879701271614,0.508266455215014,0.8056545497742932,0.8766211136824356,0.8322072072072072,0.8153153153153153,0.9763513513513513,0.8746246246246246,0.8756228691535302
TSPAN1,0.0039050563256609427,26,0.00015011799355879585,167,0.0,328,6.496544748704836,0.9894536769158312,2.384041183178903,0.8952245188880968,0.942339097901963,0.9707207207207207,0.8119369369369369,0.6306306306306306,0.8044294294294293,0.8733842636656961
CLDN12,0.0,78,0.000541059661518164,80,0.0,157,1.8321536634595978,0.9499091704231984,0.5060183820384863,0.7738180090282727,0.8618633582851175,0.9121621621621622,0.9099099099099099,0.8231981981981982,0.8817567567567567,0.8718100575209371
TXN,0.0,42,0.00011550679503111818,190,0.0,99,2.716637583260445,0.9913880104958621,0.5799639938227639,0.7434069850320741,0.8673898124009806,0.9527027027027027,0.786036036036036,0.8885135135135135,0.8757507507507508,0.8715702815758657
PLS1,0.0,79,0.00042989701185020587,95,0.0,147,3.386745199488663,0.9659893695754559,0.9371902898550726,0.7588500831551437,0.8624026319677267,0.911036036036036,0.8930180180180181,0.8344594594594594,0.8795045045045043,0.8709535682361156
LOXL1,0.0,135,0.009890493204841195,25,0.0,203,4.2319491253448165,0.98812487384781,0.5790855333808498,0.7676407697790448,0.8778824825905387,0.847972972972973,0.9718468468468469,0.7713963963963963,0.8637387387387387,0.8708106106646387
CAPN9,0.0,117,0.00011528423133959466,197,0.0026972527,22,7.465092669716746,0.9679237031554868,0.6158506414825378,0.7600380137799954,0.8639697651323563,0.8682432432432432,0.7781531531531531,0.9752252252252253,0.8738738738738738,0.8689218195031151
SLC16A1,0.0,137,0.009658099894291755,32,0.0,205,4.10844322815044,0.991068424947857,0.6034516179615119,0.7643145640294607,0.8776869731724047,0.8457207207207207,0.963963963963964,0.7691441441441441,0.8596096096096096,0.8686482913910072
TIMP2,0.0,65,0.00010544525404665266,212,0.0,87,3.0452728755971217,0.9741303909035861,0.705839883582799,0.7633642195295794,0.8687462876191773,0.9268018018018018,0.7612612612612613,0.902027027027027,0.8633633633633634,0.8660548254912703
DKK1,0.0,131,0.0008859784283513103,70,0.0,198,6.625147379398507,0.9567213886833076,0.974525640294607,0.7994773105250653,0.8780992367443502,0.8524774774774775,0.9211711711711712,0.777027027027027,0.8502252252252251,0.8641622309847876
MFAP2,0.0,62,0.00013460036266860968,175,0.0,138,3.0076292437596712,0.939749714055036,0.6863284651936326,0.7980517937752435,0.8689007400705,0.9301801801801802,0.8029279279279279,0.8445945945945946,0.8592342342342342,0.864067487152367
SPDL1,0.0,85,0.00027908421283662005,121,0.0,153,2.0377208067012047,0.9685124133754962,0.5710126823473503,0.7555238774055596,0.8620158623082393,0.9042792792792793,0.8637387387387387,0.8277027027027027,0.8652402402402403,0.8636280512742398
PXDN,0.0,94,0.00017247274579158478,151,0.0,113,3.6467698614007937,0.9776121913476418,0.9616179733903536,0.7445949156569257,0.8611001670389636,0.8941441441441441,0.829954954954955,0.8727477477477478,0.8656156156156155,0.8633578913272896
DPCR1,0.0,124,0.0003528088355604035,101,0.0,141,8.67820988360358,0.9240227410347843,1.7805647897362809,0.8028035162746497,0.8634130148775844,0.8603603603603603,0.8862612612612613,0.8412162162162162,0.8626126126126126,0.8630128137450985
PSMB8,0.0,34,8.701573849878935e-05,240,0.0,102,3.348254618852183,0.9884444593958152,0.5319047327156108,0.7453076740318365,0.8668739082562634,0.9617117117117117,0.7297297297297297,0.8851351351351351,0.8588588588588588,0.8628663835575612
OCIAD2,0.0,471,0.01988433276232744,12,0.3147495,2,3.9669676209379,0.996938706855951,1.0010752459016405,0.8184842005226894,0.9077114514357634,0.46959459459459457,0.9864864864864865,0.9977477477477478,0.8179429429429429,0.8628271971893531
SLC44A4,0.0,142,0.00044342111786188436,91,0.0,170,4.885785447083361,0.9650978940994416,1.0757625041577565,0.786647659776669,0.8758726772604729,0.8400900900900901,0.8975225225225225,0.8085585585585585,0.8487237237237237,0.8622982004920983
UACA,0.0,121,0.00017150904022596256,154,0.0,108,2.002757246181794,0.9576128641593218,0.6180186813970083,0.7695414587788073,0.8635765271474402,0.8637387387387387,0.8265765765765766,0.8783783783783784,0.8562312312312312,0.8599038791893356
GPR87,0.0,57,0.00011551119646369148,189,0.0,159,8.042934935746484,0.947436587499159,0.7689182133523391,0.7911617961511048,0.8692991367994216,0.9358108108108109,0.7871621621621622,0.8209459459459459,0.8479729729729729,0.8586360548861973
HCP5,0.0,81,0.00016563286155973344,159,0.0,149,3.5894035759940803,0.9813799367557021,0.5053501686861495,0.7431693989071039,0.8622442267225163,0.9087837837837838,0.8209459459459459,0.8322072072072072,0.853978978978979,0.8581116028507476
GRAMD3,0.0,151,0.0002552811545778773,123,0.0,166,2.006132984592613,0.9660230101594564,0.5329782608695659,0.7868852459016394,0.876453710417802,0.829954954954955,0.8614864864864865,0.8130630630630631,0.8348348348348349,0.8556442726263185
MXRA5,0.0,96,0.00011551554422025841,188,0.0,115,4.02499468142367,0.9473356657471574,0.944452542171538,0.774768353528154,0.8610517069609521,0.8918918918918919,0.7882882882882883,0.8704954954954955,0.8502252252252251,0.8556384660930887
LGR5,0.0,48,5.781782091540355e-05,268,0.0,100,5.737637902845995,0.9809426091636951,0.7289951579947731,0.753623188405797,0.8672749869986031,0.9459459459459459,0.6981981981981982,0.8873873873873874,0.8438438438438438,0.8555594154212234
DNTTIP1,0.0,596,0.01932292189272687,15,0.015535382,6,3.143899512211531,0.9930700396958891,0.6557010430030887,0.8878593490140176,0.9404646943547713,0.32882882882882886,0.9831081081081081,0.9932432432432432,0.7683933933933934,0.8544290438740824
BUB1B,0.0,130,0.00022652548103170234,143,0.0,187,4.156521943752944,0.9847103545717554,0.5057079092421,0.7716797339035399,0.8781874289337096,0.8536036036036037,0.838963963963964,0.7894144144144144,0.8273273273273274,0.8527573781305184
FAM91A1,0.0,61,9.5955383168314e-05,220,0.0,160,1.6532159893695755,0.9542488057592681,0.526706726063197,0.7835590401520551,0.8689037232281024,0.9313063063063063,0.7522522522522522,0.8198198198198198,0.8344594594594595,0.851681591343781
SLC5A3,0.0,147,2.831515204252763e-05,285,0.0012776275,36,1.8626816692457784,0.9322983246989167,0.8101330102162017,0.8210976478973627,0.8766979842183092,0.8344594594594594,0.6790540540540541,0.9594594594594594,0.8243243243243242,0.8505111542713167
CLDN4,0.0,119,0.00011539017647249485,194,0.0,122,2.6499676478503655,0.9262934804548207,0.8006313471133284,0.8013779995248278,0.8638355014186647,0.865990990990991,0.7815315315315315,0.8626126126126126,0.8367117117117117,0.8502736065651881
KIAA1551,0.0,43,0.0,330,0.0,67,2.4492279654174793,0.9742481329475879,0.5720544761225943,0.7571869802803516,0.8657075907503168,0.9515765765765766,0.6283783783783784,0.9245495495495496,0.8348348348348349,0.8502712127925758
