gene,importance_rf
MMP11,0.03839567586088437
RAC1,0.038177472098247955
BPNT1,0.03804258878186472
UBE2T,0.037943222781324296
MISP,0.0295916220576349
RALA,0.028858438437178342
CYB5B,0.028744214610959492
ABHD17C,0.028671700421574627
KPNA2,0.028212142474106673
FOXL1,0.028173815134116688
CCNB1,0.020603207879893875
OCIAD2,0.01988433276232744
PYGB,0.019417748335170973
CLIC1,0.019365826179577886
DNTTIP1,0.01932292189272687
ZNFX1,0.019081378706203786
LMNB1,0.018981954441701435
MMP12,0.018768548900446744
LGALS3BP,0.018750515436798433
WDR1,0.017972044627920788
S100A10,0.01018797156220109
HN1,0.010114674585702955
RCN1,0.010003859652492786
OSBPL10,0.01
LOXL1,0.009890493204841195
PKM,0.009884747247918406
SLC2A1,0.00982841583575854
KIF4A,0.009765305860139429
LAMA4,0.00974358187084971
NQO1,0.009691476110451288
TMEM45B,0.009680027520118388
SLC16A1,0.009658099894291755
AMIGO2,0.009658043413618794
PLAC8,0.00965759089555695
FXYD5,0.009655479977835052
SEPT7,0.009655342314953625
YWHAB,0.009655112632193943
ACTB,0.009653264091245072
PTPRR,0.00965292691997604
MMP9,0.00964150353854659
EPSTI1,0.009546768260641093
FHL2,0.009543104842794635
EMB,0.009542448440263685
CD82,0.009542266335561768
SKAP2,0.009541422333769594
CDK1,0.009436992598361966
XRCC4,0.009431567505346001
ARL6IP1,0.009430911210572228
LAMC2,0.009402551044518483
POSTN,0.009385022575890743
SDC1,0.009327878433664524
RTKN2,0.009327791128141846
LAMB3,0.009326347305389221
SPARC,0.009321541683824165
ITGA2,0.009249380564416052
FERMT1,0.009220364152892561
LAMP5,0.009220137565795847
DSG2,0.00921832011652371
DHFR,0.0092178390983288
CAP1,0.009201405646718147
PALLD,0.00918093827993135
ECT2,0.009096852450352539
CRIP1,0.009090904764425475
NT5E,0.008903508771929825
NDC80,0.008884529912963065
MCM6,0.00886037357256301
PSMD1,0.001109116285519347
AGR2,0.000911275607523046
ITGB6,0.0009054449800827421
DKK1,0.0008859784283513103
C1GALT1,0.0007796358471074383
MKI67,0.0007204974384237159
PLA2G16,0.000678194256725749
GRN,0.0006644507993732552
OAS2,0.0006278518538713799
ANKLE2,0.0005709306976684475
GCNT3,0.0005584087725717464
SFN,0.0005568396904777369
IGFL2,0.0005563666934739874
CLDN12,0.000541059661518164
LAMA3,0.0005240616071335506
CEP55,0.0005034433838724465
DGKA,0.0005026429550818704
FXYD3,0.0004623506473792805
IL2RG,0.00045463320463320423
NEK2,0.0004533167636966646
ESM1,0.00045147906555815143
SLPI,0.00045105708159510496
BHLHE41,0.00044807378847546217
PSEN1,0.00044359134491752744
SLC44A4,0.00044342111786188436
GDA,0.00044290091654476514
GPRC5A,0.000439581794031853
KRT17,0.00043311721775121664
PLS1,0.00042989701185020587
AEBP1,0.00040901015679735945
GAN,0.00038133729992750697
CEACAM5,0.00037405729111356556
OAS1,0.00036727203821610945
TFF1,0.0003666810257709856
DPCR1,0.0003528088355604035
FANCD2,0.0003481574024135376
UBE2C,0.00034628014606349124
CHEK1,0.0003439611486486492
DOCK5,0.00034240910444304813
CTTN,0.00034240910444304813
GPX2,0.00034225187684651436
EPHA4,0.00034192531306894433
SERPINB5,0.00034179566563467497
TNS4,0.00033880471380471375
CTSE,0.00033801146123736366
XDH,0.0003379242527278914
TNFAIP6,0.000337845612961626
SLC9B2,0.00033402942572377753
RNF145,0.00033398452024206444
MUC4,0.0003303075634642678
HDAC1,0.0003241930331755339
PLEK2,0.00032392902399603225
DTL,0.00031273705712841457
HIST2H4B,0.00028483247811577516
SPDL1,0.00027908421283662005
MFGE8,0.0002583747803286634
GRAMD3,0.0002552811545778773
CST1,0.00025494084788241797
PIAS3,0.0002511442243900557
CEMIP,0.00023183325950813194
NEK7,0.00023164564868017392
GAPDH,0.00023128458275785535
CTSB,0.0002305966136590336
SUGCT,0.00023014588908901534
MCM4,0.00023003356786138404
ATAD2,0.00022973563754172724
CEACAM1,0.00022954091816367234
CCL18,0.00022934014900965742
SAMD9,0.00022909066466235222
RASA2,0.00022887145489133989
LEMD1,0.00022793647320226178
CDH3,0.00022708914254865705
SLC16A3,0.0002270437082197453
RAB23,0.00022696905141868798
COL17A1,0.00022685551922515051
RBMS1,0.00022653231851762213
BUB1B,0.00022652548103170234
MX1,0.00022650123880337128
CST2,0.00022141388149214388
MYLK,0.0002178030303030303
INHBA,0.00019896002537461192
FBXL2,0.00019875943387168016
S100P,0.00019260308774672678
TUFT1,0.00017416032846469674
PXDN,0.00017247274579158478
ETV1,0.000172374051774076
JUP,0.00017170789178999702
UACA,0.00017150904022596256
LPCAT4,0.00017054615216033638
COLGALT1,0.00016971279001793925
DPY19L1,0.00016777544351073766
LMO7,0.0001658669794901874
HCP5,0.00016563286155973344
ASPM,0.00015686987757329086
CLEC7A,0.00015474668640247594
KIF14,0.00015332482277426504
DLGAP5,0.0001523391018159644
NT5C2,0.0001520011394388265
CENPF,0.00015190918472652172
ANLN,0.00015187855375769666
TSPAN1,0.00015011799355879585
