gene,log2fc,fdr,auc,log2fc_val,fdr_val,auc_val,direction_consistent,protein_coding_status,stability_score
LAMA3,5.364946686402476,3.094796286694206e-108,0.9883435376438136,1.241862988833451,6.416636212373792e-15,0.8990258968876218,True,Protein Coding,0.9436847172657116
LAMC2,6.839174476888919,1.1335697484422298e-111,0.9764515911996232,2.6461097885483476,1.3656481400847419e-16,0.9092421002613448,True,Protein Coding,0.9428468457304838
TSPAN1,6.496544748704836,7.203732051150843e-119,0.9894536769158312,2.384041183178903,1.1549040333408336e-15,0.8952245188880968,True,Protein Coding,0.942339097901963
SLC2A1,5.565663129919935,1.8005882379539923e-106,0.9911861669918588,1.6672475837491083,5.9921495687683746e-15,0.8933238298883345,True,Protein Coding,0.9422549984400912
COL17A1,9.130366931305929,4.6576725238330814e-104,0.9823218731077172,1.6478311119030646,2.2655318368867455e-14,0.9018769303872654,True,Protein Coding,0.94209940174747
CDH3,6.450252213550427,8.827422870528618e-117,0.9933223440758931,1.4296757115704457,3.1938188681561375e-14,0.8878593490140175,True,Protein Coding,0.9405908465449252
DNTTIP1,3.143899512211531,6.8530333854000614e-68,0.9930700396958893,0.6557010430030887,1.9358207723675661e-13,0.8878593490140176,True,Protein Coding,0.9404646943547712
STYK1,6.933683290721928,6.288901613838479e-100,0.9845253313597524,1.0283764670943238,6.356675740640562e-14,0.8954621050130672,True,Protein Coding,0.93999371818635
LAMB3,6.872732981228554,4.124166962358242e-108,0.9734912198075758,2.0845779876455213,6.061578064689642e-16,0.9059158945117604,True,Protein Coding,0.9397035571596676
MBOAT2,4.335037845657001,1.3512625593996918e-97,0.9850804009957612,1.5494434663815628,2.6134570231900938e-15,0.8928486576383939,True,Protein Coding,0.9389645293170752
