gene,importance_xgb
MISP,0.453004
OCIAD2,0.3147495
MMP12,0.04024303
AGR2,0.019951181
GRN,0.017589133
DNTTIP1,0.015535382
MMP9,0.015149248
STYK1,0.009778471
CEACAM5,0.009501049
VILL,0.008921821
MUC4,0.00794678
RCN1,0.0072265593
IFI27,0.006294663
ANXA10,0.006191113
CCNB1,0.00539526
KCND2,0.0044545317
PLAC8,0.0039186347
ARL6IP1,0.0038315891
FXYD5,0.0037939043
PLXNC1,0.00305953
NT5C2,0.003012118
CAPN9,0.0026972527
NUF2,0.0026417796
EDIL3,0.0023650364
GALNT3,0.0021626109
CTTN,0.0017601902
SMC6,0.0017491782
RBMS1,0.0017282508
ANGPT2,0.0017124182
TRIM29,0.0016639935
PGM2,0.0016639318
SIM2,0.0016040144
NEK7,0.001597435
AHNAK2,0.0015242585
LAMA3,0.0012821412
SLC5A3,0.0012776275
CST1,0.0012592678
TPX2,0.0011695587
NMU,0.00112161
DNAJA4,0.0010852505
LGALS4,0.0008555163
CDHR2,0.00074781984
MYEOV,0.0006970674
CEACAM6,0.0006445652
IFI44,0.0006304698
RAD21,0.0006277342
TOP2A,0.0005837311
MIR4697HG,0.00053669984
SCNN1A,0.0004780893
TRIM16,0.00045370057
CLEC7A,0.00044375425
AGMO,0.0003870494
FAM177A1,0.00036002038
SRGAP2C,0.00035850005
NRG3,0.00021756809
SPRY4,0.0001650101
CKAP2,7.8113e-05
PDCD1LG2,7.011559e-05
ETV1,5.1175684e-05
CNN2,0.0
DSG2,0.0
IFI44L,0.0
MIR31HG,0.0
SEMA3C,0.0
PTK7,0.0
COLGALT1,0.0
KIAA1551,0.0
SDC1,0.0
TIMP1,0.0
ANKLE2,0.0
GPSM2,0.0
MUC16,0.0
GALNT5,0.0
TYMS,0.0
PDGFC,0.0
OLFML2B,0.0
FAR2,0.0
TINAGL1,0.0
UBA6,0.0
ADAM22,0.0
NCEH1,0.0
RHPN2,0.0
LGALS1,0.0
DYNLT1,0.0
NMI,0.0
FBXL2,0.0
TIMP2,0.0
MYO1D,0.0
KIF13B,0.0
CORO1C,0.0
L3MBTL3,0.0
CEP170,0.0
COMP,0.0
DOCK5,0.0
COL1A1,0.0
OXR1,0.0
CHST11,0.0
MVP,0.0
TXN,0.0
LGR5,0.0
SLFN13,0.0
PSMB8,0.0
GREB1L,0.0
KCNN4,0.0
IL2RA,0.0
PARP14,0.0
RNF149,0.0
UACA,0.0
TMEM173,0.0
IL1R2,0.0
MMP13,0.0
CDC6,0.0
PXDN,0.0
VSNL1,0.0
MXRA5,0.0
CTSK,0.0
IFITM10,0.0
MMP1,0.0
IDO1,0.0
MMP3,0.0
APBB2,0.0
CLDN4,0.0
SRPX2,0.0
COL4A2,0.0
CAMSAP2,0.0
RNF145,0.0
ANKRD50,0.0
SULT1B1,0.0
FLNA,0.0
COL3A1,0.0
HIST1H2BD,0.0
ITGB4,0.0
SPARC,0.0
ELK3,0.0
SERPINH1,0.0
CLIP4,0.0
CALM2,0.0
MFAP2,0.0
CSGALNACT2,0.0
GBP2,0.0
DPCR1,0.0
TSPAN8,0.0
IL18,0.0
MAML2,0.0
WNT2,0.0
RAB25,0.0
PLS1,0.0
CKMT1A,0.0
HCP5,0.0
ERN2,0.0
PLEKHG1,0.0
PLEKHA2,0.0
SPDL1,0.0
KDELC1,0.0
HLA-F,0.0
LMNB1,0.0
CLDN12,0.0
SLC7A7,0.0
GPR87,0.0
FAM91A1,0.0
SLC25A12,0.0
ITGA2,0.0
RIOK3,0.0
TMPRSS4,0.0
LYZ,0.0
GRAMD3,0.0
SAMD9L,0.0
NHS,0.0
S100A14,0.0
SLC44A4,0.0
TAP2,0.0
TRIP10,0.0
EPHA2,0.0
LINC01559,0.0
TFF1,0.0
IQGAP1,0.0
FRRS1,0.0
SKIL,0.0
SLC35F2,0.0
BHLHE40,0.0
STIL,0.0
STK38,0.0
KLK6,0.0
STAT1,0.0
CORIN,0.0
GBP3,0.0
BUB1B,0.0
ACTR3,0.0
CXCL5,0.0
WISP1,0.0
PLAUR,0.0
SGCB,0.0
ASPH,0.0
FNDC1,0.0
COL1A2,0.0
GREM1,0.0
PPARG,0.0
DKK1,0.0
TMC7,0.0
COL5A1,0.0
GPI,0.0
HOXB3,0.0
LOXL1,0.0
TGIF1,0.0
SLC16A1,0.0
ADGRG6,0.0
