gene_A,gene_B,gene_A_auc,gene_B_auc,gene_A_log2fc,gene_B_log2fc,correlation,abs_correlation,tumor_AND_activation,normal_AND_activation,AND_sensitivity,AND_specificity,pair_score
UBE2S,CCR6,0.9958958487519344,0.9963836372199422,3.778860169548543,8.924084125008408,0.7136013100588994,0.7136013100588994,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.26446670062515426
RNASET2,AC000089.3,0.9965686604319453,0.9984525331359752,2.8389652694610765,3.0299632409338626,0.7234338064245995,0.7234338064245995,0.9438202247191011,0.0,0.9438202247191011,1.0,0.26037896111806674
IFI27,AC000089.3,0.9963331763439413,0.9984525331359752,6.051113907017427,3.0299632409338626,0.7244575639600407,0.7244575639600407,0.9382022471910112,0.0,0.9382022471910112,1.0,0.25784054775062276
CCR6,GAPDH,0.9963836372199422,0.9971741909439548,8.924084125008408,3.5851202650878014,0.7231655567861296,0.7231655567861296,0.9382022471910112,0.005988023952095809,0.9382022471910112,0.9940119760479041,0.2573398546296383
CCR6,MRPL17,0.9963836372199422,0.9952398573639238,8.924084125008408,2.2809577406983785,0.728086147375367,0.728086147375367,0.9382022471910112,0.005988023952095809,0.9382022471910112,0.9940119760479041,0.2525205137268135
PTTG1,CCR6,0.9954417008679272,0.9963836372199422,5.344155052815717,8.924084125008408,0.730828319966609,0.730828319966609,0.9382022471910112,0.0,0.9382022471910112,1.0,0.2515052708480155
MAN2B1,AC000089.3,0.9949202718159188,0.9984525331359752,2.349282665007065,3.0299632409338626,0.729690907337262,0.729690907337262,0.9325842696629213,0.0,0.9325842696629213,1.0,0.25125069619295076
DYNLRB1,CCR6,0.9958958487519344,0.9963836372199422,2.7184927538182064,8.924084125008408,0.7306223095039975,0.7306223095039975,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.24874914421624245
CCR6,POC1A,0.9963836372199422,0.9949539123999191,8.924084125008408,3.774388256072125,0.7342420017894945,0.7342420017894945,0.9382022471910112,0.0,0.9382022471910112,1.0,0.2482548261752267
CCR6,SHFM1,0.9963836372199422,0.996064051671937,8.924084125008408,2.8740591939716085,0.7358798916886705,0.7358798916886705,0.9438202247191011,0.005988023952095809,0.9438202247191011,0.9940119760479041,0.24685350345020618
UBE2T,CCR6,0.9959463096279352,0.9963836372199422,5.646122027854405,8.924084125008408,0.7377883747120706,0.7377883747120706,0.9325842696629213,0.0,0.9325842696629213,1.0,0.24359664100135986
BOLA2B,AC000089.3,0.9969050662719504,0.9984525331359752,2.9417004743322352,3.0299632409338626,0.7383890830218829,0.7383890830218829,0.9325842696629213,0.0,0.9325842696629213,1.0,0.24340791290039346
MISP,AC000089.3,0.996366816927942,0.9984525331359752,7.767093157505214,3.0299632409338626,0.7482763878712202,0.7482763878712202,0.9662921348314607,0.0,0.9662921348314607,1.0,0.24260847967108298
CCR6,PIGU,0.9963836372199422,0.9947352486039158,8.924084125008408,2.392829610442038,0.7375479489236599,0.7375479489236599,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.24221267708445762
EPHX4,AC000089.3,0.9968377851039494,0.9984525331359752,7.818003390970866,3.0299632409338626,0.743392620742031,0.743392620742031,0.9438202247191011,0.0,0.9438202247191011,1.0,0.24162091253638793
HLA-A,AC000089.3,0.9976787997039628,0.9984525331359752,4.352046642669716,3.0299632409338626,0.7439951720298953,0.7439951720298953,0.9438202247191011,0.0,0.9438202247191011,1.0,0.24115515568220017
LGALS3BP,AC000089.3,0.997746080871964,0.9984525331359752,4.172795868936285,3.0299632409338626,0.744525078599403,0.744525078599403,0.9438202247191011,0.0,0.9438202247191011,1.0,0.24066409807386155
AC000089.3,GRN,0.9984525331359752,0.9967368633519478,3.0299632409338626,3.5322372199421377,0.7434606235484726,0.7434606235484726,0.9382022471910112,0.0,0.9382022471910112,1.0,0.24010689745555538
CCR6,CKS2,0.9963836372199422,0.9946511471439144,8.924084125008408,4.81815380475005,0.744476405420232,0.744476405420232,0.9438202247191011,0.0,0.9438202247191011,1.0,0.24008727338683425
CCR6,TCEB2,0.9963836372199422,0.9960304110879364,8.924084125008408,2.6273445132207485,0.742888715225489,0.742888715225489,0.9382022471910112,0.005988023952095809,0.9382022471910112,0.9940119760479041,0.2388684677997052
CCR6,BOLA2B,0.9963836372199422,0.9969050662719504,8.924084125008408,2.9417004743322352,0.7409550765727562,0.7409550765727562,0.9213483146067416,0.0,0.9213483146067416,1.0,0.23786970901283533
SMYD3,CCR6,0.9947857094799164,0.9963836372199422,3.0911119121307946,8.924084125008408,0.7424125021247279,0.7424125021247279,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.2377292856369357
RNASET2,CCDC96,0.9965686604319453,0.9951725761959228,2.8389652694610765,2.658767960707798,0.7457617647775899,0.7457617647775899,0.9382022471910112,0.0,0.9382022471910112,1.0,0.23754191506273864
BLOC1S1,AC000089.3,0.995122115319922,0.9984525331359752,2.293008490883402,3.0299632409338626,0.7496925249594164,0.7496925249594164,0.949438202247191,0.0,0.949438202247191,1.0,0.2368879819624314
CCR6,CCNB1,0.9963836372199422,0.9945165848079124,8.924084125008408,3.72830410078719,0.7437566617584678,0.7437566617584678,0.9269662921348315,0.0,0.9269662921348315,1.0,0.23644820683906506
TEX264,CCR6,0.9965686604319453,0.9963836372199422,1.974107619592277,8.924084125008408,0.7474931159810102,0.7474931159810102,0.9325842696629213,0.0,0.9325842696629213,1.0,0.23465413763101597
CCR6,ATP5E,0.9963836372199422,0.9953575994079256,8.924084125008408,2.903379583529571,0.7446239691665605,0.7446239691665605,0.9269662921348315,0.005988023952095809,0.9269662921348315,0.9940119760479041,0.23433578329098695
COX7B,CCR6,0.9969387068559512,0.9963836372199422,2.605707387472245,8.924084125008408,0.7473062538154374,0.7473062538154374,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.2334649749917559
GTF3A,CCR6,0.9957276458319316,0.9963836372199422,1.6110134562336,8.924084125008408,0.7457034892703692,0.7457034892703692,0.9269662921348315,0.005988023952095809,0.9269662921348315,0.9940119760479041,0.23338855737375294
