Hill_n,P_basal,ROC_AUC,Optimal_Threshold,Accuracy,Sensitivity,Specificity,Dynamic_Range
1,0.0,0.9985534548879769,0.25,0.9855072463768116,0.9775280898876404,0.9940119760479041,1.0
1,0.01,0.9985534548879769,0.26,0.9855072463768116,0.9775280898876404,0.9940119760479041,0.99
1,0.05,0.9985534548879769,0.3,0.9855072463768116,0.9775280898876404,0.9940119760479041,0.95
1,0.1,0.9985534548879769,0.35000000000000003,0.9855072463768116,0.9775280898876404,0.9940119760479041,0.9
2,0.0,0.9984525331359753,0.24,0.9855072463768116,0.9831460674157303,0.9880239520958084,1.0
2,0.01,0.9984525331359753,0.25,0.9855072463768116,0.9831460674157303,0.9880239520958084,0.99
2,0.05,0.9984525331359753,0.29,0.9855072463768116,0.9831460674157303,0.9880239520958084,0.95
2,0.1,0.9984525331359753,0.34,0.9855072463768116,0.9831460674157303,0.9880239520958084,0.9
4,0.0,0.9982170490479715,0.23,0.9884057971014493,0.9831460674157303,0.9940119760479041,1.0
4,0.01,0.9982170490479715,0.24,0.9884057971014493,0.9831460674157303,0.9940119760479041,0.99
4,0.05,0.9982170490479715,0.28,0.9884057971014493,0.9831460674157303,0.9940119760479041,0.95
4,0.1,0.9982170490479715,0.33,0.9884057971014493,0.9831460674157303,0.9940119760479041,0.9
8,0.0,0.9980152055439682,0.19,0.9884057971014493,0.9831460674157303,0.9940119760479041,1.0
8,0.01,0.9980152055439682,0.2,0.9884057971014493,0.9831460674157303,0.9940119760479041,0.99
8,0.05,0.9980152055439682,0.24,0.9884057971014493,0.9831460674157303,0.9940119760479041,0.95
8,0.1,0.9980152055439682,0.29,0.9884057971014493,0.9831460674157303,0.9940119760479041,0.9
