gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
5S_rRNA,-9.947304740168539,-9.89802361526946,-0.04928112489907832,0.3277695027437375,0.4695216308955124,0.0,0.5663028738344508
5_8S_rRNA,-9.9658,-9.965799999999998,-1.7763568394002505e-15,1.0,0.5,0.0,1.0
7SK,-9.427708614232209,-9.686978343313372,0.2592697290811632,0.06388257882984957,0.5577104218529233,0.0,0.12438693579842512
A1BG,3.594534831460674,2.4950095808383232,1.0995252506223507,2.931683362713987e-13,0.7272757855076364,0.3712574850299401,9.153170765397223e-13
A1BG-AS1,1.0266202247191012,-0.4448526946107785,1.4714729193298797,1.9716832048462817e-30,0.8570779788737133,0.6407185628742516,8.89375327813198e-30
A1CF,0.06350505617977524,1.1933970059880237,-1.1298919498082485,5.398697000459403e-13,0.27529771916840473,0.011976047904191617,1.6747567728442716e-12
A2M,7.424844382022472,4.690992215568863,2.733852166453609,2.2133069750827248e-52,0.9743490546995895,0.9760479041916168,4.2594525593732295e-51
A2M-AS1,-0.5582657303370786,-1.5171377245508983,0.9588719942138197,7.974820193022885e-23,0.8062975173249008,0.3712574850299401,3.0486357460680875e-22
A2ML1,-2.0540230337078658,-3.3004820359281446,1.2464590022202788,9.710112427643772e-05,0.6213920473659422,0.017964071856287425,0.00023107124999951248
A2ML1-AS1,-9.844363483146068,-9.801568862275447,-0.04279462087062136,0.9118419994903258,0.49655184013994486,0.0,1.0
A2ML1-AS2,-9.927629213483145,-9.965799999999998,0.03817078651685257,0.9281341802544646,0.5028089887640449,0.0,1.0
A2MP1,-4.112003370786517,-5.23578502994012,1.123781659153603,2.5427948402445386e-05,0.6311478167260984,0.2155688622754491,6.20302592389295e-05
A3GALT2,-8.703697191011235,-8.37312335329341,-0.3305738377178251,0.2562754661327089,0.4646437462154343,0.0,0.4535474179487091
A4GALT,3.963043258426967,1.114448502994012,2.8485947554329547,8.941039409837705e-50,0.9619693197873915,0.8682634730538922,1.061132556052882e-48
A4GNT,-0.6878724719101122,0.2057880239520958,-0.8936604958622081,0.12789076574481284,0.4525835968512414,0.0,0.2393294450580399
AA06,-9.930182584269662,-9.965799999999998,0.03561741573033572,0.9281341802544646,0.5028089887640449,0.0,1.0
AAAS,4.726273033707865,4.3480706586826345,0.37820237502523035,1.6375897541767866e-08,0.6758561528628136,0.25149700598802394,4.507218821153464e-08
AACS,4.007274157303372,2.6057658682634735,1.4015082890398984,2.7842354481351035e-45,0.9398169952230371,0.8562874251497006,2.192543309412589e-44
AACSP1,-6.9281893258426965,-5.585081437125749,-1.3431078887169479,5.196276588988613e-07,0.343689026441499,0.0,1.3582147013186773e-06
AADAC,1.6158623595505617,3.1537239520958087,-1.537861592545247,1.3171220318453662e-13,0.26939379667631036,0.017964071856287425,4.144063899647317e-13
AADACL2,-8.863530337078652,-8.305113772455089,-0.5584165646235633,0.035935845870739565,0.4346699858709547,0.0,0.07201306013593523
AADACL2-AS1,-9.845902247191011,-9.881567664670657,0.035665417479645356,0.8695871615408645,0.5051133687680819,0.0,1.0
AADACL3,-9.680073595505617,-9.44293113772455,-0.2371424577810668,0.2947555815038263,0.4673686335194779,0.0,0.5148204150290892
AADACL4,-8.711747191011236,-7.66389221556886,-1.0478549754423758,0.0017722805368027175,0.40264414990244224,0.0,0.003934438613249962
AADACP1,-0.21787022471910114,-1.7555706586826347,1.5377004339635336,1.3678468303942785e-07,0.664115589046626,0.3413173652694611,3.6475707925768043e-07
AADAT,0.8475803370786518,1.274108383233533,-0.42652804615488116,2.1049144929961175e-11,0.29137791832066207,0.023952095808383235,6.276813230552586e-11
AAED1,2.8063353932584274,0.8991239520958084,1.907211441162619,4.9252264108523305e-50,0.9632140213954115,0.9401197604790419,6.0424018507673375e-49
AAGAB,4.5958764044943825,2.7386209580838328,1.8572554464105497,3.548546577662594e-54,0.9826919195317232,0.9940119760479041,1.2831938707781013e-52
AAK1,2.735152808988764,2.233500598802395,0.5016522101863687,1.7711613722269682e-08,0.6754356455628069,0.1437125748502994,4.867307986415913e-08
AAMDC,5.395392696629213,3.505692215568862,1.889700481060351,9.449548132863028e-55,0.9853327053757653,0.9820359281437125,4.796914897497825e-53
AAMP,6.66102808988764,4.960822754491018,1.700205335396622,1.6034166045244858e-53,0.9796642669716745,0.9940119760479041,4.372893301194083e-52
AANAT,-3.8523971910112356,-4.291060479041916,0.43866328803068066,0.051150853295811226,0.5607380744129719,0.1377245508982036,0.10078937561123166
AAR2,4.482318539325844,2.619469461077844,1.8628490782479998,6.624583665354e-55,0.9860391576397766,1.0,3.82339641083845e-53
AARD,-2.6630264044943823,-6.068166467065868,3.405140062571486,2.140851782781416e-40,0.9144015340106304,0.7544910179640718,1.3148798310664514e-39
AARS,5.663618539325842,4.68542874251497,0.9781897968108719,1.4205631373381857e-37,0.8989941465383839,0.7365269461077845,7.847794148284444e-37
AARS2,2.1343275280898877,1.1076730538922157,1.026654474197672,6.235539765922953e-38,0.9009789409944156,0.7724550898203593,3.4898648612547293e-37
AARSD1,5.099309550561799,4.4533395209580835,0.6459700296037152,1.7065095238741737e-21,0.7965417479647446,0.3592814371257485,6.346434384082845e-21
AARSP1,-9.9658,-9.965799999999998,-1.7763568394002505e-15,1.0,0.5,0.0,1.0
AASDH,1.714649438202247,0.6131131736526946,1.1015362645495523,6.681469350071274e-40,0.911743927874588,0.7245508982035929,4.026408353014354e-39
AASDHPPT,3.5256983146067413,2.5609664670658683,0.964731847540873,4.0249396762579964e-33,0.8734104824059746,0.6287425149700598,1.9496030360085142e-32
AASS,1.3639651685393261,3.1141407185628744,-1.7501755500235483,1.4177947474123956e-39,0.09002220278544035,0.011976047904191617,8.435489955125487e-39
AATBC,-1.2111224719101121,-4.353652095808383,3.1425296238982705,1.099013767775619e-45,0.9418522505550696,0.8203592814371258,8.888765087679627e-45
AATF,5.22248595505618,3.5912401197604793,1.6312458352957004,3.1825562769848194e-52,0.9736089618515777,0.9700598802395209,5.870192986840292e-51
AATK,2.181233707865169,3.1950461077844317,-1.0138123999192628,5.96637166270168e-23,0.19279418690708472,0.011976047904191617,2.28920630320099e-22
AATK-AS1,-9.180861235955057,-7.2937293413173645,-1.887131894637692,3.6041191818049007e-10,0.3047164098768755,0.0,1.0405248917712922e-09
AB015752.3,-8.887187640449438,-9.253397604790417,0.3662099643409782,0.3498550933919371,0.5291159254524659,0.0,0.6003708945130816
AB019438.66,-9.899867415730336,-9.965799999999998,0.06593258426966209,0.9281341802544646,0.5028089887640449,0.0,1.0
AB019440.50,-9.930182584269662,-9.965799999999998,0.03561741573033572,0.9281341802544646,0.5028089887640449,0.0,1.0
AB019441.29,-0.39103033707865165,-0.7441107784431139,0.35308044136446226,0.013317454184178306,0.5770873982372334,0.20359281437125748,0.027780143986160643
ABALON,-0.47146404494382027,-3.4950748502994013,3.023610805355581,1.3705731394647938e-46,0.946376909103142,0.8862275449101796,1.1863112453160031e-45
ABAT,2.7373449438202244,3.8459203592814375,-1.108575415461213,8.310243816311947e-25,0.17970799973087534,0.011976047904191617,3.3087908176671665e-24
ABBA01017803.1,-5.76778988764045,-4.837162275449102,-0.9306276121913477,0.02479683776972828,0.43009486644688155,0.0,0.050499688975784884
ABC12-47043100G14.2,-9.9658,-9.965799999999998,-1.7763568394002505e-15,1.0,0.5,0.0,1.0
