gene,mean_abs_shap
RP11-40C6.2,3.0291570678984554
AC009065.4,2.1206465297488277
MMP12,0.7897217447693229
MISP,0.5361700064575767
UBE2SP2,0.4772410309134596
HMGN1P37,0.24737677257341556
S100A6,0.12539432302627862
RP11-10G12.1,0.11302064229349292
RPL37P6,0.08263568465434692
FTH1P7,0.0
EEF1A1P12,0.0
RP11-215A21.2,0.0
NDUFA13,0.0
RPS28P7,0.0
PTENP1,0.0
PPIAP22,0.0
AC000089.3,0.0
HNRNPCP2,0.0
HNRNPA1P4,0.0
FTH1P20,0.0
CD63,0.0
LGALS3BP,0.0
ATP5L,0.0
HLA-A,0.0
MMP9,0.0
EEF1A1P9,0.0
GAPDH,0.0
MDK,0.0
NDUFC2,0.0
CORO2A,0.0
ATOX1,0.0
RP11-641D5.1,0.0
COX7B,0.0
OCIAD2,0.0
BOLA2B,0.0
EIF5AP4,0.0
RPL13AP20,0.0
EPHX4,0.0
COX7A2,0.0
MGST2,0.0
RPS2P55,0.0
BCAP31,0.0
TEX264,0.0
GRN,0.0
RNASET2,0.0
MRPL14,0.0
KIF4A,0.0
RP11-805J14.5,0.0
CCR6,0.0
RP11-64K7.1,0.0
IFI27,0.0
COMMD1,0.0
EEF1A1P19,0.0
SHFM1,0.0
TCEB2,0.0
LINC00920,0.0
UBE2T,0.0
UBE2S,0.0
DYNLRB1,0.0
NDUFA1,0.0
MMP28,0.0
GTF3A,0.0
DNASE2,0.0
COX6B1,0.0
PTTG1,0.0
TPX2,0.0
CFL1,0.0
ATP5E,0.0
PKM,0.0
UQCR10,0.0
CRIP1,0.0
MRPL17,0.0
RGS10,0.0
CCDC96,0.0
MAD2L1,0.0
BLOC1S1,0.0
PSMB6,0.0
MND1,0.0
PSMB3,0.0
CKLF,0.0
DHRS7B,0.0
HPSE,0.0
POC1A,0.0
GBA,0.0
MAN2B1,0.0
SH3KBP1,0.0
LINC01420,0.0
NAGA,0.0
SMYD3,0.0
CTSB,0.0
PIGU,0.0
SNRPD1,0.0
CKS2,0.0
CCDC51,0.0
TP53TG1,0.0
NPC2,0.0
NUDT1,0.0
SPA17,0.0
SERTAD3,0.0
CCNB1,0.0
