gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
RP11-40C6.2,9.168289325842697,-5.005292814371257,14.173582140213954,5.335504573672211e-58,1.0,1.0,3.9809152723316605e-54
UBE2SP2,2.5168752808988764,-8.5654748502994,11.082350131198277,5.335504573672211e-58,1.0,1.0,3.9809152723316605e-54
AC009065.4,1.7880460674157304,-9.965799999999998,11.75384606741573,5.335504573672211e-58,1.0,1.0,3.9809152723316605e-54
FTH1P7,4.619834269662921,0.6428754491017964,3.976958820561125,5.429193990365998e-58,0.9999663594159994,1.0,3.9809152723316605e-54
EIF5AP4,2.230156179775281,-7.161268263473055,9.391424443248336,5.572809635111858e-58,0.9999158985399986,1.0,3.9809152723316605e-54
EEF1A1P12,0.8178567415730338,-3.2390101796407187,4.056866921213753,5.871492322081644e-58,0.999814976787997,1.0,3.9809152723316605e-54
RP11-10G12.1,2.097479775280899,-8.305301796407184,10.402781571688083,5.922800492760085e-58,0.9997981564959968,1.0,3.9809152723316605e-54
RP11-215A21.2,1.47093202247191,-2.4627748502994016,3.9337068727713116,6.240165283108272e-58,0.9996972347439951,1.0,3.9809152723316605e-54
FTH1P20,3.7440219101123593,-0.1614634730538922,3.9054853831662513,7.688234467828254e-58,0.9992935477359888,1.0,3.9809152723316605e-54
HMGN1P37,1.7850758426966293,-9.169341317365266,10.954417160061896,7.823045971651775e-58,0.9992599071519882,1.0,3.9809152723316605e-54
RPS28P7,10.034694382022472,7.757772455089819,2.276921926932653,8.241772875832337e-58,0.9991589853999866,0.9940119760479041,3.9809152723316605e-54
NDUFA13,8.351327528089886,5.796423353293412,2.554904174796474,8.989836912412124e-58,0.9989907824799839,1.0,3.9809152723316605e-54
PPIAP22,7.5075943820224715,3.9745718562874255,3.533022525735046,9.805514014075479e-58,0.9988225795599812,1.0,3.9809152723316605e-54
PTENP1,1.5675808988764046,-1.6964227544910182,3.264003653367423,1.0329883852377514e-57,0.9987216578079795,1.0,3.9809152723316605e-54
RPL37P6,1.621332584269663,-8.26113592814371,9.882468512413373,1.0419954974550617e-57,0.9987048375159793,1.0,3.9809152723316605e-54
AC000089.3,1.2525398876404497,-1.7774233532934132,3.0299632409338626,1.186879854292275e-57,0.9984525331359753,1.0,3.9809152723316605e-54
HNRNPCP2,3.305939325842697,-1.1501251497005989,4.456064475543296,1.3635961709362286e-57,0.998183408463971,1.0,3.9809152723316605e-54
HNRNPA1P4,-0.24194101123595502,-7.9777706586826325,7.7358296474466774,1.3754732186661107e-57,0.9981665881719707,1.0,3.9809152723316605e-54
MMP12,2.329920786516854,-8.952801197604789,11.282721984121643,1.500060779449286e-57,0.9979983852519679,1.0,3.9809152723316605e-54
CD63,10.569742696629215,8.24211497005988,2.327627726569334,1.621769439635968e-57,0.9978470026239655,1.0,3.9809152723316605e-54
LGALS3BP,8.768080898876406,4.59528502994012,4.172795868936285,1.7083241140654683e-57,0.997746080871964,1.0,3.9809152723316605e-54
HLA-A,10.144764606741573,5.792717964071857,4.352046642669716,1.7685683690780885e-57,0.9976787997039629,1.0,3.9809152723316605e-54
ATP5L,8.323848876404492,6.003819161676646,2.3200297147278457,1.830928632894702e-57,0.9976115185359619,1.0,3.9809152723316605e-54
MDK,8.427776966292134,3.2916395209580838,5.13613744533405,2.084919521352055e-57,0.9973592141559577,1.0,3.9809152723316605e-54
MMP9,4.334939325842696,-3.420788023952096,7.7557273497947925,2.121336352589029e-57,0.9973255735719573,1.0,3.9809152723316605e-54
EEF1A1P9,0.7268859550561797,-2.78712874251497,3.5140146975711497,2.121336352589029e-57,0.9973255735719572,0.9940119760479041,3.9809152723316605e-54
GAPDH,11.277774157303371,7.69265389221557,3.5851202650878014,2.2932128252042932e-57,0.9971741909439548,1.0,3.9809152723316605e-54
NDUFC2,7.593092134831461,5.360346706586827,2.232745428244634,2.2932128252042932e-57,0.9971741909439548,1.0,3.9809152723316605e-54
CORO2A,3.438461797752809,-2.9883904191616764,6.426852216914485,2.3332529547070133e-57,0.9971405503599542,1.0,3.9809152723316605e-54
RP11-641D5.1,8.160026966292136,5.675665269461078,2.4843616968310585,2.457599915283395e-57,0.9970396286079526,0.9940119760479041,3.9809152723316605e-54
ATOX1,7.0283084269662925,4.207017964071857,2.821290462894436,2.544143276775204e-57,0.9969723474399516,1.0,3.9809152723316605e-54
COX7B,6.907569662921348,4.3018622754491025,2.605707387472245,2.5885466700057617e-57,0.9969387068559511,1.0,3.9809152723316605e-54
OCIAD2,7.6552915730337086,3.6883239520958084,3.9669676209379,2.5885466700057617e-57,0.996938706855951,1.0,3.9809152723316605e-54
BOLA2B,6.742883707865169,3.801183233532934,2.9417004743322352,2.6337219826594443e-57,0.9969050662719504,1.0,3.9809152723316605e-54
RPL13AP20,1.3892831460674158,-2.9447317365269465,4.334014882594362,2.656603276566443e-57,0.9968882459799502,1.0,3.9809152723316605e-54
S100A6,12.087774719101121,5.676380239520959,6.411394479580163,2.7264420591719014e-57,0.9968377851039494,1.0,3.9809152723316605e-54
EPHX4,1.0449303370786518,-6.773073053892214,7.818003390970866,2.7264420591719014e-57,0.9968377851039494,1.0,3.9809152723316605e-54
MGST2,6.669992696629213,4.249350299401197,2.4206423972280158,2.7264420591719014e-57,0.9968377851039494,1.0,3.9809152723316605e-54
COX7A2,8.136533146067416,5.816490419161677,2.320042726905739,2.822413220870661e-57,0.9967705039359482,0.9940119760479041,3.9809152723316605e-54
GRN,8.483725842696629,4.951488622754491,3.5322372199421377,2.871653284343702e-57,0.9967368633519478,1.0,3.9809152723316605e-54
RPS2P55,1.9485314606741575,-0.9124748502994011,2.8610063109735586,2.896593265403599e-57,0.9967200430599475,1.0,3.9809152723316605e-54
BCAP31,7.757644382022473,5.701879041916167,2.055765340106306,2.9217489984069e-57,0.9967032227679472,1.0,3.9809152723316605e-54
TEX264,5.9363297752809,3.9622221556886226,1.974107619592277,3.1309884016951196e-57,0.9965686604319451,1.0,3.9809152723316605e-54
RNASET2,7.242399999999999,4.4034347305389225,2.8389652694610765,3.1309884016951196e-57,0.9965686604319451,1.0,3.9809152723316605e-54
MRPL14,5.687457303370787,3.0130437125748504,2.674413590795937,3.1855896796366015e-57,0.9965350198479447,1.0,3.9809152723316605e-54
RP11-805J14.5,3.4784005617977534,-1.2726419161676648,4.751042477965418,3.297653916308121e-57,0.9964677386799434,1.0,3.9809152723316605e-54
KIF4A,1.2469561797752808,-5.171707784431138,6.418663964206419,3.3551499741408874e-57,0.996434098095943,1.0,3.9809152723316605e-54
CCR6,0.38894101123595504,-8.535143113772452,8.924084125008408,3.4432716373564233e-57,0.9963836372199422,1.0,3.9809152723316605e-54
MISP,5.490058426966292,-2.2770347305389222,7.767093157505214,3.4731548661469727e-57,0.9963668169279419,1.0,3.9809152723316605e-54
RP11-64K7.1,-1.8095786516853933,-9.53953353293413,7.7299548812487355,3.5032964255303084e-57,0.9963499966359415,1.0,3.9809152723316605e-54
IFI27,9.6286797752809,3.577565868263473,6.051113907017427,3.5336985398208695e-57,0.9963331763439413,0.9940119760479041,3.9809152723316605e-54
COMMD1,5.2801994382022475,3.289003592814371,1.9911958453878764,3.5336985398208695e-57,0.9963331763439413,1.0,3.9809152723316605e-54
EEF1A1P19,0.35496179775280895,-2.399490419161677,2.754452216914486,3.9536840248855457e-57,0.9961145125479378,1.0,4.3219358939909094e-54
SHFM1,7.948083146067416,5.074023952095808,2.8740591939716085,4.057458744375946e-57,0.996064051671937,1.0,4.3219358939909094e-54
TCEB2,8.639669662921348,6.012325149700599,2.6273445132207485,4.128144761293848e-57,0.9960304110879363,1.0,4.3219358939909094e-54
LINC00920,0.47972977528089894,-4.7739347305389215,5.25366450581982,4.2364801923451317e-57,0.9959799502119356,1.0,4.3219358939909094e-54
UBE2T,3.523629213483147,-2.122492814371258,5.646122027854405,4.3102724634232335e-57,0.9959463096279351,1.0,4.3219358939909094e-54
UBE2S,4.897186516853933,1.1183263473053895,3.778860169548543,4.423368216373356e-57,0.9958958487519344,0.9940119760479041,4.3219358939909094e-54
DYNLRB1,7.871419101123595,5.152926347305389,2.7184927538182064,4.423368216373356e-57,0.9958958487519343,1.0,4.3219358939909094e-54
NDUFA1,7.0867589887640445,4.957808982035928,2.1289500067281164,4.4617198444093383e-57,0.995879028459934,0.9880239520958084,4.3219358939909094e-54
MMP28,5.0181438202247195,-0.9867784431137725,6.004922263338492,4.500402682327811e-57,0.9958622081679338,0.9880239520958084,4.3219358939909094e-54
GTF3A,6.591077528089888,4.980064071856288,1.6110134562336,4.822135999115945e-57,0.9957276458319316,1.0,4.5562185316808255e-54
DNASE2,5.541466292134832,3.2796485029940117,2.26181778914082,4.9914929961529625e-57,0.9956603646639306,1.0,4.641375415994233e-54
COX6B1,8.414730337078652,6.102780838323353,2.3119494987552986,5.44125603065692e-57,0.9954921617439277,1.0,4.9790142777986706e-54
PTTG1,4.587000561797753,-0.757154491017964,5.344155052815717,5.583895852565799e-57,0.9954417008679272,1.0,4.9790142777986706e-54
TPX2,3.041775280898876,-3.6129107784431134,6.654686059341989,5.681052166479693e-57,0.9954080602839265,1.0,4.9790142777986706e-54
CFL1,10.00767191011236,6.420431137724551,3.58724077238781,5.829952715986121e-57,0.9953575994079257,1.0,4.9790142777986706e-54
ATP5E,6.797673595505619,3.8942940119760476,2.903379583529571,5.829952715986121e-57,0.9953575994079257,0.9940119760479041,4.9790142777986706e-54
PKM,9.495907303370785,5.4689604790419155,4.02694682432887,5.931373032319754e-57,0.9953239588239252,1.0,4.9790142777986706e-54
UQCR10,6.7399196629213485,4.559549101796406,2.180370561124943,6.034550685780469e-57,0.9952903182399246,0.9940119760479041,4.9790142777986706e-54
CRIP1,8.811973595505616,2.3746586826347302,6.437314912870886,6.034550685780469e-57,0.9952903182399246,0.9940119760479041,4.9790142777986706e-54
MRPL17,5.910841573033707,3.6298838323353286,2.2809577406983785,6.192678656529886e-57,0.9952398573639238,1.0,5.011855643495182e-54
RGS10,5.307019101123595,0.9337598802395208,4.373259220884075,6.354933557957035e-57,0.995189396487923,1.0,5.011855643495182e-54
CCDC96,0.8663955056179775,-1.7923724550898201,2.658767960707798,6.409954082052796e-57,0.9951725761959228,0.9940119760479041,5.011855643495182e-54
MAD2L1,2.873996629213483,-1.2823526946107784,4.156349323824261,6.521422660432678e-57,0.9951389356119222,1.0,5.011855643495182e-54
BLOC1S1,7.444643820224719,5.1516353293413175,2.293008490883402,6.577878900634628e-57,0.995122115319922,1.0,5.011855643495182e-54
PSMB6,6.868589325842698,4.879929341317365,1.9886599845253325,6.63482195719611e-57,0.9951052950279218,1.0,5.011855643495182e-54
MND1,1.404650561797753,-4.134247305389222,5.538897867186975,6.808614014306726e-57,0.9950548341519209,0.9880239520958084,5.011855643495182e-54
PSMB3,7.574865168539326,4.799289820359281,2.7755753481800447,6.808614014306726e-57,0.9950548341519208,1.0,5.011855643495182e-54
CKLF,6.510532022471909,2.617050299401198,3.8934817230707113,7.047409961253507e-57,0.9949875529839197,1.0,5.011855643495182e-54
DHRS7B,4.638283707865168,2.903925149700599,1.7343585581645686,7.047409961253507e-57,0.9949875529839197,0.9940119760479041,5.011855643495182e-54
HPSE,1.6631685393258426,-2.6622437125748504,4.325412251900693,7.047409961253507e-57,0.9949875529839197,1.0,5.011855643495182e-54
POC1A,2.0418601123595503,-1.7325281437125746,3.774388256072125,7.169918013813525e-57,0.9949539123999191,1.0,5.011855643495182e-54
GBA,5.666763483146068,3.3706311377245517,2.296132345421516,7.294547196884825e-57,0.9949202718159188,0.9940119760479041,5.011855643495182e-54
MAN2B1,6.259090449438203,3.9098077844311376,2.349282665007065,7.294547196884825e-57,0.9949202718159187,1.0,5.011855643495182e-54
SH3KBP1,4.639697752808988,0.32346526946107784,4.31623248334791,7.357668618504048e-57,0.9949034515239185,1.0,5.011855643495182e-54
LINC01420,5.1938983146067415,2.225174251497006,2.9687240631097356,7.485548276571985e-57,0.9948698109399179,0.9880239520958084,5.0403552136765917e-54
NAGA,4.569251123595506,1.6480251497005987,2.921225973894907,7.615641690813603e-57,0.9948361703559174,1.0,5.069680748744905e-54
SMYD3,4.357364606741573,1.2662526946107784,3.0911119121307946,7.815016277427628e-57,0.9947857094799165,1.0,5.0742701558312363e-54
CTSB,9.252482584269663,5.672558083832335,3.5799245004373272,7.950812505886318e-57,0.9947520688959162,1.0,5.0742701558312363e-54
PIGU,4.355959550561798,1.9631299401197604,2.392829610442038,8.019589443442866e-57,0.9947352486039158,0.9940119760479041,5.0742701558312363e-54
SNRPD1,6.29829382022472,3.287197604790419,3.0110962154343013,8.229496187838889e-57,0.9946847877279149,1.0,5.0742701558312363e-54
CKS2,5.190383146067416,0.37222934131736524,4.81815380475005,8.372465360420714e-57,0.9946511471439143,1.0,5.0742701558312363e-54
CCDC51,3.4071129213483147,0.7989592814371257,2.608153639911189,8.444875000885641e-57,0.9946343268519141,1.0,5.0742701558312363e-54
TP53TG1,5.048595505617977,2.210853892215569,2.8377416134024083,8.59157092300052e-57,0.9946006862679135,0.9880239520958084,5.0742701558312363e-54
