gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
AC009065.4,1.7880460674157304,-9.965799999999998,11.75384606741573,1.1167176002931732e-189,1.0,1.0,6.541843374277438e-185
RP11-40C6.2,9.168289325842697,-5.005292814371257,14.173582140213954,6.753077515818323e-76,1.0,1.0,3.882257448028981e-74
UBE2SP2,2.5168752808988764,-8.5654748502994,11.082350131198277,1.0479421201360878e-108,1.0,1.0,5.960145372785646e-106
FTH1P7,4.619834269662921,0.6428754491017964,3.976958820561125,1.0419266078778616e-93,0.9999663594159994,1.0,1.784710602809737e-91
EIF5AP4,2.230156179775281,-7.161268263473055,9.391424443248336,2.4755314464746955e-80,0.9999158985399986,1.0,1.8127388458241768e-78
EEF1A1P12,0.8178567415730338,-3.2390101796407187,4.056866921213753,1.2412056213850767e-79,0.999814976787997,1.0,8.697495993583633e-78
RP11-10G12.1,2.097479775280899,-8.305301796407184,10.402781571688083,1.095224914868361e-89,0.9997981564959968,1.0,1.4132019986322346e-87
RP11-215A21.2,1.47093202247191,-2.4627748502994016,3.9337068727713116,5.721613248285624e-50,0.9996972347439951,1.0,9.305325532976683e-49
FTH1P20,3.7440219101123593,-0.1614634730538922,3.9054853831662513,8.236698457860556e-81,0.9992935477359888,1.0,6.18607733794781e-79
HMGN1P37,1.7850758426966293,-9.169341317365266,10.954417160061896,9.566404691313367e-123,0.9992599071519882,1.0,2.0755909378586235e-119
RPS28P7,10.034694382022472,7.757772455089819,2.276921926932653,1.6967689156848065e-31,0.9991589853999866,0.9940119760479041,1.2006090089350363e-30
NDUFA13,8.351327528089886,5.796423353293412,2.554904174796474,1.641670067653206e-42,0.9989907824799839,1.0,1.9062571701326553e-41
PPIAP22,7.5075943820224715,3.9745718562874255,3.533022525735046,1.2339335530503323e-67,0.9988225795599812,1.0,4.6756184651514563e-66
PTENP1,1.5675808988764046,-1.6964227544910182,3.264003653367423,3.3954213024197973e-84,0.9987216578079795,1.0,3.093424188445632e-82
RPL37P6,1.621332584269663,-8.26113592814371,9.882468512413373,3.633444502209403e-91,0.9987048375159793,1.0,5.242630846894804e-89
AC000089.3,1.2525398876404497,-1.7774233532934132,3.0299632409338626,1.719130909227738e-74,0.9984525331359753,1.0,9.16364038157144e-73
