cell_id,cell_type,CEACAM5,CST1
cell_0,Malignant Ductal,2.770091473978788,0.10567013739656603
cell_1,Malignant Ductal,3.543731796673845,0.10442889356333314
cell_2,Malignant Ductal,2.680458411235046,0.103501703761035
cell_3,Malignant Ductal,2.7198681815874113,0.043517765251457556
cell_4,Malignant Ductal,3.2582908088337805,0.04702302251073534
cell_5,Malignant Ductal,2.3740667404240567,0.06374858726458137
cell_6,Malignant Ductal,2.69683970813168,0.1931440965402011
cell_7,Malignant Ductal,4.166119984976953,0.05637092821231693
cell_8,Malignant Ductal,2.8848198579678512,0.11736376936462721
cell_9,Malignant Ductal,3.049165331785258,0.04284700258870494
cell_10,Malignant Ductal,2.534159029223896,0.08345480320356305
cell_11,Malignant Ductal,2.052520086296444,0.0
cell_12,Malignant Ductal,1.3539358200212692,0.1097457617794862
cell_13,Malignant Ductal,3.3833785052154677,0.09025938593792175
cell_14,Malignant Ductal,2.7676444527468247,0.12218951290835141
cell_15,Malignant Ductal,3.3580267429196273,0.16493841329220768
cell_16,Malignant Ductal,1.5500988310784622,0.15575369952950346
cell_17,Malignant Ductal,1.7406870742797922,0.15773209300282634
cell_18,Malignant Ductal,4.315346625403104,0.1155756564136876
cell_19,Malignant Ductal,3.896038440803013,0.08508097638116784
cell_20,Malignant Ductal,3.6120155095796918,0.11956929138765235
cell_21,Malignant Ductal,3.0146584146748534,0.27244280615291316
cell_22,Malignant Ductal,2.237642253555399,0.13660731700220013
cell_23,Malignant Ductal,4.741428182306386,0.06033983665681117
cell_24,Malignant Ductal,2.513799768795159,0.20077560593842853
cell_25,Malignant Ductal,2.1914477205782203,0.14857309298125135
cell_26,Malignant Ductal,4.043781606712006,0.04717204139706688
cell_27,Malignant Ductal,0.5956891894216567,0.06308977347601126
cell_28,Malignant Ductal,1.718332224356806,0.1171396687730059
cell_29,Malignant Ductal,3.6208658965079175,0.15002951818108562
cell_30,Malignant Ductal,1.4313734872233554,0.08088658972212755
cell_31,Malignant Ductal,2.741446698718197,0.10511605113694662
cell_32,Malignant Ductal,2.4339902480702422,0.10506210842725884
cell_33,Malignant Ductal,2.247237518073319,0.10215525469147414
cell_34,Malignant Ductal,2.5680406266879516,0.1317828412683675
cell_35,Malignant Ductal,2.8266101305574054,0.12452875718942726
cell_36,Malignant Ductal,2.206337964648261,0.14150606783456962
cell_37,Malignant Ductal,3.1157477940799563,0.028501775075117444
cell_38,Malignant Ductal,3.4850759505408404,0.10226603010476881
cell_39,Malignant Ductal,3.554143167758511,0.09513067194086498
cell_40,Malignant Ductal,2.7878743433439594,0.1307026069298685
cell_41,Malignant Ductal,2.254568034870849,0.12020256500247983
cell_42,Malignant Ductal,2.1514772390476753,0.11202697376246867
cell_43,Malignant Ductal,2.325601823989535,0.040389936592802635
cell_44,Malignant Ductal,4.479308116046466,0.10137963821208006
cell_45,Malignant Ductal,4.2280212554498116,0.10392848902296391
cell_46,Malignant Ductal,1.9908037080345435,0.08784004409685989
cell_47,Malignant Ductal,2.9019880854500113,0.1383682670244748
cell_48,Malignant Ductal,3.165074157487353,0.06878363025277899
cell_49,Malignant Ductal,3.3716116211888476,0.20430540988530466
cell_50,Malignant Ductal,3.885629109927408,0.15969080215754128
cell_51,Malignant Ductal,2.5580998844217313,0.11725972310074144
cell_52,Malignant Ductal,3.8437281564914825,0.15914606635763937
cell_53,Malignant Ductal,3.756540233469155,0.051222769354202946
cell_54,Malignant Ductal,2.4290992962051163,0.060931722035265895
cell_55,Malignant Ductal,2.044204934608848,0.10268409804116045
cell_56,Malignant Ductal,3.694505865016122,0.24806017633916405
cell_57,Malignant Ductal,1.8518719330862676,0.05351780947015077
cell_58,Malignant Ductal,2.155042719348574,0.13559319534245287
cell_59,Malignant Ductal,3.348357978719499,0.1993430427679448
cell_60,Malignant Ductal,3.4405819919278704,0.07027420275311218
cell_61,Malignant Ductal,3.4675367550630507,0.1003716995245964
cell_62,Malignant Ductal,3.777677662908844,0.08848350508095215
cell_63,Malignant Ductal,1.701764354899387,0.02850517984997213
cell_64,Malignant Ductal,3.047391423346124,0.19373421794269408
cell_65,Malignant Ductal,4.322472987165202,0.15252058537790036
cell_66,Malignant Ductal,3.2656568636618366,0.09789361964524229
cell_67,Malignant Ductal,2.316671249489906,0.065623043243052
cell_68,Malignant Ductal,1.857326225688338,0.07539160231381284
cell_69,Malignant Ductal,3.35856141450338,0.03311432839074032
cell_70,Malignant Ductal,2.6724183667833867,0.12745925291221918
cell_71,Malignant Ductal,3.224350525864148,0.0971249716323495
cell_72,Malignant Ductal,4.107252882648471,0.20902022345570317
cell_73,Malignant Ductal,3.4278672026443195,0.0919219898955368
cell_74,Malignant Ductal,3.43933213027531,0.15516745239802937
cell_75,Malignant Ductal,1.6653336291220997,0.08858364071251422
cell_76,Malignant Ductal,2.9235130952598554,0.14951803726943994
cell_77,Malignant Ductal,3.2796779045027344,0.14506041208123097
cell_78,Malignant Ductal,2.6109877861349107,0.04396336495803199
cell_79,Malignant Ductal,3.224229844289234,0.12432731483337903
cell_80,Malignant Ductal,4.115720777231861,0.07977780401686177
cell_81,Malignant Ductal,3.586072280635082,0.07431093697729528
cell_82,Malignant Ductal,2.64201046453831,0.05128391885367447
cell_83,Malignant Ductal,3.7507925318364252,0.11679860512770433
cell_84,Malignant Ductal,3.245057328301992,0.12971414769498935
cell_85,Malignant Ductal,1.8928357717626245,0.11299464735790943
cell_86,Malignant Ductal,2.525751283741,0.1042343212444823
cell_87,Malignant Ductal,2.7215288417373102,0.044811764686083555
cell_88,Malignant Ductal,2.9293512089490523,0.08773690779953243
cell_89,Malignant Ductal,1.7678399339961866,0.0713509862579804
cell_90,Malignant Ductal,2.8688369709735415,0.11180178793274001
cell_91,Malignant Ductal,1.844195485557598,0.07714183578521996
cell_92,Malignant Ductal,3.1203801198462657,0.0
cell_93,Malignant Ductal,2.2812386090826755,0.07849850579837143
cell_94,Malignant Ductal,4.095448168597898,0.16555034284705206
cell_95,Malignant Ductal,2.642654677758934,0.1447694127628596
cell_96,Malignant Ductal,3.0052035967417345,0.08731416602764505
cell_97,Malignant Ductal,2.962385730608195,0.03861167334710524
cell_98,Malignant Ductal,2.8944803610415137,0.10808402492000492
cell_99,Malignant Ductal,3.333251293284035,0.1318076117996651
cell_100,Malignant Ductal,3.2257625936623784,0.005195777111915723
cell_101,Malignant Ductal,3.2955059689537505,0.1570426087769185
cell_102,Malignant Ductal,2.4531677892631354,0.024236628176817966
cell_103,Malignant Ductal,2.709627168663847,0.11878372038235634
cell_104,Malignant Ductal,3.177776696572447,0.13484216936991644
cell_105,Malignant Ductal,3.263094622976103,0.07410121024491305
cell_106,Malignant Ductal,2.5074387137195164,0.0385466926687457
cell_107,Malignant Ductal,3.303751562219346,0.01890309937364564
cell_108,Malignant Ductal,2.0694881367575078,0.14352036477776334
cell_109,Malignant Ductal,3.183570838440991,0.07567726304912517
cell_110,Malignant Ductal,3.3360278229562166,0.12480212074623037
cell_111,Malignant Ductal,2.882946438258619,0.18522591997182988
cell_112,Malignant Ductal,4.0981230216813955,0.05419861164459332
cell_113,Malignant Ductal,3.3874211602697444,0.1380240246634027
cell_114,Malignant Ductal,3.4645951790895877,0.13566604203563665
cell_115,Malignant Ductal,3.2099594031961898,0.1103389901022548
cell_116,Malignant Ductal,5.1741644731235565,0.0
cell_117,Malignant Ductal,3.854037584277837,0.06440507595628668
cell_118,Malignant Ductal,2.55849210391612,0.15543600560276138
cell_119,Malignant Ductal,1.7010756776305123,0.08415734139954544
cell_120,Malignant Ductal,2.2078402668701926,0.12194669802817067
cell_121,Malignant Ductal,3.8521230368088766,0.12016846140220033
cell_122,Malignant Ductal,2.0483333360199945,0.06694353694116373
cell_123,Malignant Ductal,3.7530779558428917,0.017277764281812446
cell_124,Malignant Ductal,2.3824916667963216,0.1545368311924035
cell_125,Malignant Ductal,2.7127634490183707,0.093998319997914
cell_126,Malignant Ductal,3.624640329744671,0.0388476690664388
cell_127,Malignant Ductal,2.5705449545002157,0.0
cell_128,Malignant Ductal,3.543547182962141,0.06265014470280285
cell_129,Malignant Ductal,3.7356355759187996,0.09798955454135531
cell_130,Malignant Ductal,3.871959112634577,0.18227345007845083
cell_131,Malignant Ductal,4.920411147309236,0.11679218496959157
cell_132,Malignant Ductal,4.243658404237816,0.11119822596054213
cell_133,Malignant Ductal,3.3012819103744437,0.1426995967614217
cell_134,Malignant Ductal,2.3994202028922405,0.09927600970756538
cell_135,Malignant Ductal,2.167427629049821,0.12768774100660718
cell_136,Malignant Ductal,2.4879942637913817,0.05940542201581381
cell_137,Malignant Ductal,2.572818245942307,0.07843301768644766
cell_138,Malignant Ductal,3.4439818857316364,0.08787713030332428
cell_139,Malignant Ductal,3.972753866170762,0.08901625487053344
cell_140,Malignant Ductal,2.7052041996398795,0.1177911603643135
cell_141,Malignant Ductal,2.570786210740409,0.03494045190789751
cell_142,Malignant Ductal,1.5870508120913658,0.060419427191442276
cell_143,Malignant Ductal,3.658568774679639,0.0041598238334359825
cell_144,Malignant Ductal,3.1624658610672243,0.15325672449412203
cell_145,Malignant Ductal,2.32239241154035,0.07863045872973963
cell_146,Malignant Ductal,1.4120458070402082,0.08871278355985333
cell_147,Malignant Ductal,1.8507715758223364,0.13846000836336994
cell_148,Malignant Ductal,2.481406078401474,0.15114093256876077
cell_149,Malignant Ductal,2.956890425625131,0.20038355799799276
cell_150,Malignant Ductal,3.235450218649284,0.01613619180700008
cell_151,Malignant Ductal,4.0153064890361305,0.11358339753229278
cell_152,Malignant Ductal,2.5090929548814462,0.19361414499522042
cell_153,Malignant Ductal,2.506795037601066,0.07722106311499106
cell_154,Malignant Ductal,3.221486356011298,0.2141816670759279
cell_155,Malignant Ductal,3.162890266016298,0.11450609935434615
cell_156,Malignant Ductal,2.150223722535823,0.12520106782884816
cell_157,Malignant Ductal,1.8744119005726037,0.17125427206726895
cell_158,Malignant Ductal,2.843217984278053,0.003176640612484105
cell_159,Malignant Ductal,2.680999459844869,0.05996354722342861
cell_160,Malignant Ductal,2.014590249521059,0.05451499599962961
cell_161,Malignant Ductal,2.859244269739323,0.13029464701535065
cell_162,Malignant Ductal,1.5227119364717077,0.15026542578042526
cell_163,Malignant Ductal,2.2754495364122778,0.09504501805588353
cell_164,Malignant Ductal,3.496273257482125,0.0
cell_165,Malignant Ductal,3.8973730338384382,0.10227169445197347
cell_166,Malignant Ductal,2.986141392012844,0.04896327336277863
cell_167,Malignant Ductal,2.6641997987470356,0.07848420202679798
cell_168,Malignant Ductal,3.5656673639958503,0.07809821374015075
cell_169,Malignant Ductal,3.787351383322595,0.1370235454945616
cell_170,Malignant Ductal,2.432290164898641,0.11948481649175076
cell_171,Malignant Ductal,1.4197900933385168,0.15357369444896976
cell_172,Malignant Ductal,4.743207965387026,0.10219678782062207
cell_173,Malignant Ductal,3.7935845280764604,0.055034068000334536
cell_174,Malignant Ductal,2.326009504719603,0.09295137492411652
cell_175,Malignant Ductal,2.22122057996312,0.13187994073399528
cell_176,Malignant Ductal,2.8834189127899155,0.004939864281816465
cell_177,Malignant Ductal,0.8637556812818025,0.14316193910232777
cell_178,Malignant Ductal,2.7820830573727813,0.059249397789049106
cell_179,Malignant Ductal,2.812675219507357,0.13336529764323915
cell_180,Malignant Ductal,3.236687792618794,0.05764189359455101
cell_181,Malignant Ductal,4.161894773322063,0.10569557317694253
