gene,model_used,threshold_original_scale,threshold_normalized_scale,bootstrap_CI_low,bootstrap_CI_high,direction,stability_flag,notes
MISP,XGBoost,1.6422532657993618,0.6499979430526112,-9.737742484234314,1.8232773796013177,Tumor-High,Medium,Consensus prioritized
MMP12,XGBoost,-3.3525426177902915,0.37763499838454734,-3.9832354307113578,-3.0193852390231166,Tumor-High,High,Consensus prioritized
LAMA3,XGBoost,5.217409511291135,0.7719674149790594,5.013367392962015,9.542439025609,Tumor-High,Medium,Consensus prioritized
CEACAM5,XGBoost,-1.1969229518637068,0.40677820318024827,-1.4617853950164856,-1.0125296395989787,Tumor-High,High,Consensus prioritized
MMP9,XGBoost,-0.22577735034011992,0.5242941773154414,-0.3996885657109476,0.050747633169521564,Tumor-High,High,Consensus prioritized
CST1,XGBoost,-2.1796276043037883,0.3606846833167901,-3.1173340610897364,11.5748579793835,Tumor-High,Medium,Consensus prioritized
RCN1,XGBoost,5.022,0.8391026610009126,4.822,5.222,Normal-High,High,Consensus prioritized
GRN,XGBoost,6.99384160362939,0.8306098746530998,6.8072323162543675,7.18014105127716,Tumor-High,High,Consensus prioritized
DSG2,XGBoost,6.6860939047081835,0.9546407407346275,6.3768922389851985,7.252491875544341,Tumor-High,High,Consensus prioritized
SPARC,XGBoost,9.780149707378413,0.8355173953327697,9.2965964562279,10.152641181279465,Tumor-High,High,Consensus prioritized
ANKLE2,XGBoost,4.298,0.8737717772169268,4.098,4.498,Normal-High,High,Consensus prioritized
CTTN,XGBoost,6.3971,0.538647950435518,6.1971,6.5971,Normal-High,High,Consensus prioritized
DOCK5,XGBoost,3.92086197030376,0.9377620638630876,3.679110253318396,4.0912168467154295,Normal-High,High,Consensus prioritized
COLGALT1,XGBoost,4.6189,0.8541952185168267,4.4189,4.8189,Normal-High,High,Consensus prioritized
LMNB1,XGBoost,1.7081481939283918,0.7437815024738708,-2.0247398328385953,1.9255295970953032,Tumor-High,Medium,Consensus prioritized
FBXL2,XGBoost,1.3956,0.7510725925338305,1.1956,1.5956,Normal-High,High,Consensus prioritized
NT5C2,XGBoost,4.3249,0.8527128545088938,4.1249,4.524900000000001,Normal-High,High,Consensus prioritized
TSPAN1,XGBoost,3.8925,0.69298776371519,3.6925,4.0925,Normal-High,High,Consensus prioritized
CLDN12,XGBoost,3.4907,0.798690661316936,3.2906999999999997,3.6907,Normal-High,High,Consensus prioritized
TXN,XGBoost,5.943691179256453,0.8228848534305958,5.855175105278583,6.114706057041995,Tumor-High,High,Consensus prioritized
