gene,log2fc,fdr,auc,log2fc_val,fdr_val,auc_val,direction_consistent,protein_coding_status,stability_score
LAMA3,5.364946686402476,3.0947962866942056e-108,0.9883435376438136,1.241862988833451,6.416636212373792e-15,0.8990258968876218,True,Protein Coding,0.9436847172657116
LAMC2,6.839174476888919,1.1335697484422298e-111,0.9764515911996231,2.6461097885483476,1.3656481400847419e-16,0.9092421002613447,True,Protein Coding,0.9428468457304838
TSPAN1,6.496544748704836,7.203732051150843e-119,0.9894536769158312,2.384041183178903,1.1549040333408336e-15,0.8952245188880968,True,Protein Coding,0.942339097901963
SLC2A1,5.565663129919935,1.8005882379539923e-106,0.9911861669918589,1.6672475837491083,5.992149568768375e-15,0.8933238298883345,True,Protein Coding,0.9422549984400911
COL17A1,9.130366931305929,4.657672523833081e-104,0.9823218731077172,1.6478311119030646,2.2655318368867455e-14,0.9018769303872654,True,Protein Coding,0.94209940174747
CDH3,6.450252213550427,8.827422870528618e-117,0.9933223440758931,1.4296757115704457,3.1938188681561375e-14,0.8878593490140175,True,Protein Coding,0.9405908465449252
DNTTIP1,3.143899512211531,6.853033385400062e-68,0.9930700396958891,0.6557010430030887,1.9358207723675661e-13,0.8878593490140176,True,Protein Coding,0.9404646943547713
STYK1,6.933683290721928,6.288901613838479e-100,0.9845253313597524,1.0283764670943238,6.356675740640562e-14,0.8954621050130672,True,Protein Coding,0.9399937181863499
LAMB3,6.872732981228554,4.124166962358242e-108,0.9734912198075758,2.0845779876455213,6.061578064689642e-16,0.9059158945117605,True,Protein Coding,0.9397035571596676
MBOAT2,4.335037845657001,1.3512625593996918e-97,0.9850804009957613,1.5494434663815628,2.6134570231900938e-15,0.8928486576383939,True,Protein Coding,0.9389645293170751
PYGB,3.091929405234475,1.1717774640692183e-61,0.989941465383839,0.9098170943216912,2.2042435809202656e-14,0.8866714183891661,True,Protein Coding,0.9383064418864818
AMIGO2,3.922537186301554,2.7500715759085384e-82,0.9803875395276862,0.6817696436208136,5.783232209639961e-13,0.8928486576383939,True,Protein Coding,0.9366180985824984
ITGB4,4.689003999865436,7.766276185201295e-82,0.9655352216914485,1.2334420194820614,1.814126539553207e-14,0.9059158945117605,True,Protein Coding,0.9357255581015874
KCNN4,7.158587674090022,3.692937632077978e-113,0.9786886900356591,0.8382715799477318,1.814126539553207e-14,0.8923734853884533,True,Protein Coding,0.9355310877120393
GALNT5,9.04132768956469,3.890259217805788e-108,0.9794960640516719,2.4606336208125446,2.163789681812875e-15,0.8909479686386315,True,Protein Coding,0.9352220163451497
PTPRR,5.759684976115185,1.2289171105078495e-104,0.9914889322478637,1.0063764172012348,5.037470759801865e-11,0.8776431456402947,True,Protein Coding,0.9345660388970007
S100A6,6.411394479580163,3.199173044372192e-104,0.9968377851039494,0.8570632573057742,2.6749207080692863e-12,0.8695652173913043,True,Protein Coding,0.9332015012451306
NHS,3.5348118751261524,1.8869760918574333e-82,0.9734239386395748,0.5649131052506533,6.085508921695541e-15,0.8911855547636018,True,Protein Coding,0.9323047467015827
AHNAK2,5.840582214223239,5.943602127119336e-96,0.9695552714795129,1.5068726657163212,3.6791304886101085e-15,0.8945117605131859,True,Protein Coding,0.932033515996346
TMPRSS4,10.579058924846935,2.6340349780583356e-103,0.9745004373275921,2.0594419672131137,4.6130932168403e-15,0.8890472796388692,True,Protein Coding,0.9317738584832264
ITGA2,5.274842595707461,8.463324499282589e-119,0.9911525264078583,2.138572019482061,4.641120227815402e-13,0.8712283202660964,True,Protein Coding,0.9311904233365453
TMC7,4.302616726098364,1.8846957031856977e-87,0.9722296979075558,1.1375053599429785,1.814126539553207e-14,0.8890472796388691,True,Protein Coding,0.9306384887731955
APOL1,5.538457172172508,1.2990455209796853e-109,0.9944493036399111,1.427977479211215,4.269427877592066e-12,0.8660014255167499,True,Protein Coding,0.9302253645743589
TRIM16,3.1837846498015208,8.374653808898659e-71,0.9863587431877818,0.9164832287954372,1.2947753404812569e-12,0.872416250890948,True,Protein Coding,0.9293874970381616
RTKN2,5.509207555675167,2.6124149927441378e-110,0.9918926192558702,0.8437513043478266,2.637696563272587e-10,0.864575908766928,True,Protein Coding,0.9282342637665592
FN1,5.713524386059341,3.6218292447359913e-90,0.9833815515037341,2.188027540983608,3.047665382962139e-11,0.8709907341411262,True,Protein Coding,0.9271861427941727
LEF1,5.724171200296037,2.487549871440817e-103,0.9882594361838122,1.2323188073176512,3.7431031985564845e-12,0.864575908766928,True,Protein Coding,0.9264176724719024
FBXO32,3.5568255601157244,1.738767268171218e-68,0.9771075825876337,1.4525453456878106,1.4818630403766411e-13,0.8753860774530767,True,Protein Coding,0.9262468300202179
ANTXR1,5.168165858171299,3.95495497154679e-102,0.9841048240597456,1.5510739605607045,1.216464137787519e-11,0.8681397006414825,True,Protein Coding,0.9261222623393481
ZNF185,3.3814714963331762,6.183955196846815e-76,0.9741135706115859,0.6304616773580443,2.4839954500376813e-12,0.8781183178902353,True,Protein Coding,0.9261159442486101
SLC6A14,9.35250386866716,6.418805633633724e-97,0.9661407522034582,2.660688793062485,1.1555281003996822e-13,0.8854834877643145,True,Protein Coding,0.9258121199837793
PKM,4.02694682432887,3.360294625140634e-69,0.9953239588239252,0.9593364409598468,1.553036872701053e-11,0.8553100498930862,True,Protein Coding,0.9253170043441352
NOX4,5.282063981026711,2.1273190407501305e-92,0.9806062033236896,1.4120317058683765,7.735425790650778e-13,0.8693276312663342,True,Protein Coding,0.9249669172942965
ASAP2,2.7446439144183548,2.6877325396742885e-57,0.9541142434232659,1.0285743098123072,6.085508921695541e-15,0.8949869327631266,True,Protein Coding,0.9245505880931906
MLPH,3.403390220682231,2.4369239583890524e-58,0.9692525062235081,1.2436016274649564,9.881920057653648e-15,0.8797814207650273,True,Protein Coding,0.9245169634942586
IGFBP3,5.8119553488528535,8.884909390728252e-108,0.9907151988158514,0.9375906937514866,8.400481775828821e-12,0.8572107388928486,True,Protein Coding,0.9239629688465882
VILL,4.902783129247124,1.1722843594752681e-93,0.9795465249276727,0.8264157543359465,1.7552618122872593e-11,0.8681397006414826,True,Protein Coding,0.9238431127683617
RUNX2,4.49473860257014,9.29572632735242e-96,0.9800847742716814,1.032596129722024,1.8988986717774978e-12,0.8674269422665716,True,Protein Coding,0.9237558582673724
COL10A1,9.674559843234878,2.4121095176422037e-113,0.9776458319316422,1.4233047636018057,1.3577189472190447e-13,0.869327631266334,True,Protein Coding,0.9234867315988627
KRT19,6.2655638935611915,7.159349962216139e-99,0.9768552782076296,1.825134516512235,2.3991326546981554e-13,0.869327631266334,True,Protein Coding,0.9230914547367604
