gene,importance_l1,rank_l1,importance_rf,rank_rf,importance_xgb,rank_xgb,log2fc,auc,log2fc_val,auc_val,stability_score,rank_score_l1,rank_score_rf,rank_score_xgb,model_consensus_score,consensus_score
MISP,0.4129838165256289,1,0.0295916220576349,5,0.453004,1,7.767093157505214,0.996366816927942,0.6659791732002853,0.8246614397719174,0.9105141112394344,0.9988738738738738,0.9943693693693694,0.9988738738738738,0.9973723723723724,0.9539432418059036
MMP12,0.2720091912899475,2,0.0187685489004467,18,0.04024303,3,11.282721984121643,0.997998385251968,1.4072152791636978,0.8111190306486101,0.9045586969133734,0.9977477477477478,0.9797297297297296,0.9966216216216216,0.9913663663663664,0.94796253163987
LAMA3,0.0,35,0.0005240616071335,81,0.0012821412,35,5.364946686402476,0.9883435376438136,1.241862988833451,0.8990258968876218,0.9436847172657116,0.9605855855855856,0.9087837837837838,0.9605855855855856,0.9433183183183184,0.943501517792015
CEACAM5,0.248507716348783,3,0.0003740572911135,98,0.009501049,9,10.462945828567584,0.9664771580434636,2.794674587788072,0.8648134948918983,0.9156453264667646,0.9966216216216216,0.8896396396396397,0.9898648648648648,0.9587087087087088,0.9371770175877366
MMP9,0.1983308986948969,5,0.0096415035385465,40,0.015149248,7,7.755727349794792,0.9973255735719572,0.7886111712995953,0.7697790449037777,0.8835518916909881,0.9943693693693694,0.954954954954955,0.9921171171171173,0.9804804804804804,0.9320161860857344
CST1,0.2253641908455672,4,0.0002549408478824,124,0.0012592678,37,13.968350481060352,0.9902274103478436,1.651110529817058,0.8168210976478973,0.903524251906935,0.9954954954954957,0.8603603603603603,0.9583333333333334,0.9380630630630632,0.9207936574849992
RCN1,0.0,54,0.0100038596524927,23,0.0072265593,12,3.24744221893292,0.992935477359887,0.5799790354003314,0.7462580185317178,0.8695866083030006,0.9391891891891893,0.9740990990990992,0.9864864864864864,0.9665915915915916,0.9180890999472962
GRN,0.0,143,0.0006644507993732,74,0.017589133,5,3.5322372199421377,0.9967368633519478,0.507347327156098,0.7574245664053219,0.8770709091644425,0.838963963963964,0.9166666666666666,0.9943693693693694,0.9166666666666666,0.8968687879155546
DSG2,0.0,77,0.0092183201165237,58,0.0,61,2.7126503263136654,0.9749714055035996,0.903822385364692,0.7555238774055594,0.8652154279454114,0.9132882882882885,0.9346846846846848,0.9313063063063064,0.9264264264264264,0.895820927185919
SPARC,0.0018371042621512,30,0.0093215416838241,54,0.0,133,5.418763079459057,0.990176949471843,1.0341804941791397,0.7329531955333808,0.861560339732826,0.9662162162162162,0.9391891891891893,0.8502252252252253,0.9185435435435436,0.8900519416381847
