gene,mean_pdac_val,mean_normal_val,log2fc_val,p_value_val,auc_val,fdr_val
1060P11.3,3.699038053830228,3.8476276814988286,-0.1485896276686005,7.400013270628336e-05,0.2981705868377287,0.00037304048753119607
A1BG,4.429204347826087,4.527209672131147,-0.09800532430505982,0.0031229240976361336,0.3494891898313139,0.00813913364495317
A1CF,3.7207527536231884,4.482273770491803,-0.7615210168686146,3.05534123594762e-07,0.23924922784509386,4.399999333524855e-06
A2M,9.076359420289856,8.943423934426232,0.1329354858636247,0.659316834004908,0.5224518888096936,0.7187484130252425
A2ML1,3.7792944927536234,3.1263388524590163,0.6529556402946071,0.00017465255724404832,0.6911380375386077,0.000751953315228734
A3GALT2,2.8052676811594206,2.970590491803278,-0.16532281064385757,0.0001475847611881772,0.30672368733665956,0.0006558849095861161
A4GALT,5.228744782608695,5.055892459016395,0.1728523235923003,0.00799840419001474,0.6350677120456165,0.017745350378534256
A4GNT,2.8415894202898553,2.82518262295082,0.016406797339035162,0.1680330765589263,0.42979330007127586,0.23069084628745387
AAAS,5.564797681159421,5.5793465573770495,-0.014548876217628681,0.5426557309900292,0.4689950106913756,0.6127430193053093
AACS,5.078850144927536,4.982101803278688,0.09674834164884771,0.03898659008390292,0.6051318602993585,0.06667653569154498
AADAC,3.44360652173913,3.5765513114754097,-0.13294478973627966,0.5932311508577068,0.4727963886909004,0.659684384623455
AADACL2,2.270036086956522,2.3790600000000004,-0.10902391304347825,0.025596874967879192,0.38631503920171056,0.047047164383211194
AADACL3,3.100861884057971,3.2022057377049182,-0.10134385364694731,0.056687408073348634,0.4029460679496318,0.09149666938523301
AADACL4,2.3714342028985507,2.535322459016393,-0.16388825611784252,0.0011196083423126559,0.33404609170824423,0.003492751976182167
AADAT,3.6625265217391303,3.7425152459016395,-0.07998872416250924,0.16517303905198322,0.4293181278213352,0.22735730113933528
AAED1,4.621217246376812,4.548428032786886,0.0727892135899264,0.41560571730258755,0.5414587788073176,0.4911882518879562
AAGAB,5.418442318840579,5.3153321311475406,0.10311018769303804,0.015369854540718679,0.6234259919220718,0.03069520770547082
AAK1,6.032068985507246,6.05897024590164,-0.026901260394393667,0.20866035908652858,0.43597053932050367,0.27677938745410025
AAMDC,4.064235652173913,4.148397704918033,-0.08416205274412025,0.09081455719605985,0.4138750296982656,0.1365631925720031
AAMP,5.744369710144927,5.519517868852459,0.22485184129246782,0.0009809725170823681,0.6678545972915181,0.0031340669636158135
AANAT,3.857689130434783,4.061178524590164,-0.20348939415538103,0.0003748629363276688,0.3188405797101449,0.001415323389083118
