gene_A,gene_B,K_final_A,K_final_B,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,tumor_spearman_r,threshold_instability_A,threshold_instability_B,mean_threshold_instability,performance_score,redundancy_penalty,threshold_instability_penalty,pair_score,redundancy_category
OCIAD2,EDIL3,0.796545245774221,0.6311502155526197,0.9831460674157303,1.0,0.8115942028985508,0.639344262295082,0.012073271608729879,0.00957360595802697,0.03610149953278518,0.022837552745406074,0.8585211331523408,0.002414654321745976,0.0022837552745406074,0.8538227235560543,weak correlation / high independence
OCIAD2,ETV1,0.796545245774221,0.6641001764469112,0.9831460674157303,1.0,0.8115942028985508,0.639344262295082,0.13406041107478056,0.00957360595802697,0.02482275843931166,0.017198182198669316,0.8585211331523408,0.026812082214956113,0.0017198182198669316,0.8299892327175178,weak correlation / high independence
OCIAD2,MMP9,0.796545245774221,0.5052459001107324,0.9719101123595506,1.0,0.8115942028985508,0.639344262295082,0.1323690015866817,0.00957360595802697,0.0779806405713783,0.043777123264702636,0.8557121443882958,0.02647380031733634,0.004377712326470264,0.8248606317444892,weak correlation / high independence
OCIAD2,RCN1,0.796545245774221,0.8497562945311693,0.9438202247191011,1.0,0.8115942028985508,0.639344262295082,0.15218604393847004,0.00957360595802697,0.041475064871972264,0.025524335414999617,0.8486896724781835,0.03043720878769401,0.002552433541499962,0.8157000301489896,weak correlation / high independence
SDC1,ETV1,0.8187216314358295,0.6641001764469112,0.7921348314606742,1.0,0.6376811594202898,0.9508196721311475,0.12630129786703514,0.08453034283497024,0.02482275843931166,0.05467655063714095,0.8451589157530279,0.02526025957340703,0.005467655063714095,0.8144310011159068,weak correlation / high independence
OCIAD2,GRN,0.796545245774221,0.8150381531247665,0.9831460674157303,1.0,0.7971014492753623,0.639344262295082,0.20336972439927828,0.00957360595802697,0.022702682080163877,0.016138144019095423,0.8548979447465437,0.04067394487985566,0.0016138144019095424,0.8126101854647785,low-to-moderate correlation / partial independence
SDC1,EDIL3,0.8187216314358295,0.6311502155526197,0.7921348314606742,1.0,0.6376811594202898,0.9508196721311475,0.16396796561457802,0.08453034283497024,0.03610149953278518,0.06031592118387771,0.8451589157530279,0.032793593122915604,0.0060315921183877715,0.8063337305117245,weak correlation / high independence
MMP12,SDC1,0.39736509818459975,0.8187216314358295,0.7921348314606742,1.0,0.6376811594202898,0.9508196721311475,0.18335883190815774,0.02207993458626133,0.08453034283497024,0.05330513871061578,0.8451589157530279,0.03667176638163155,0.005330513871061579,0.8031566355003349,weak correlation / high independence
OCIAD2,MMP12,0.796545245774221,0.39736509818459975,0.9662921348314607,1.0,0.8115942028985508,0.639344262295082,0.26501560768543336,0.00957360595802697,0.02207993458626133,0.01582677027214415,0.8543076500062734,0.053003121537086674,0.0015826770272144152,0.7997218514419724,low-to-moderate correlation / partial independence
GRN,SDC1,0.8150381531247665,0.8187216314358295,0.797752808988764,1.0,0.6376811594202898,0.9508196721311475,0.2597037966186093,0.022702682080163877,0.08453034283497024,0.05361651245756706,0.8465634101350503,0.051940759323721865,0.005361651245756706,0.7892609995655717,low-to-moderate correlation / partial independence
RCN1,SDC1,0.8497562945311693,0.8187216314358295,0.7865168539325843,1.0,0.6376811594202898,0.9508196721311475,0.28948904092177064,0.041475064871972264,0.08453034283497024,0.06300270385347126,0.8437544213710053,0.05789780818435413,0.006300270385347126,0.7795563428013041,low-to-moderate correlation / partial independence
MMP9,SDC1,0.5052459001107324,0.8187216314358295,0.7921348314606742,1.0,0.6376811594202898,0.9508196721311475,0.29355092504875435,0.0779806405713783,0.08453034283497024,0.08125549170317427,0.8451589157530279,0.05871018500975087,0.008125549170317428,0.7783231815729597,low-to-moderate correlation / partial independence
OCIAD2,CCNB1,0.796545245774221,0.7228724824339547,0.9775280898876404,1.0,0.8115942028985508,0.639344262295082,0.4471429977317774,0.00957360595802697,0.04176615865950621,0.02566988230876659,0.8571166387703183,0.08942859954635549,0.002566988230876659,0.7651210509930861,moderate correlation
CCNB1,SDC1,0.7228724824339547,0.8187216314358295,0.797752808988764,1.0,0.6376811594202898,0.9508196721311475,0.39230259780724536,0.04176615865950621,0.08453034283497024,0.06314825074723823,0.8465634101350503,0.07846051956144907,0.006314825074723824,0.7617880654988775,low-to-moderate correlation / partial independence
CST1,SDC1,0.5436593060985359,0.8187216314358295,0.7752808988764045,1.0,0.6376811594202898,0.9508196721311475,0.3131250478761847,0.2613835538362081,0.08453034283497024,0.17295694833558917,0.8409454326069603,0.06262500957523695,0.017295694833558917,0.7610247281981644,low-to-moderate correlation / partial independence
SDC1,TOP2A,0.8187216314358295,0.7642964013003924,0.7696629213483146,1.0,0.6376811594202898,0.9508196721311475,0.34492021991101746,0.08453034283497024,0.12468589671829405,0.10460811977663215,0.8395409382249379,0.0689840439822035,0.010460811977663215,0.7600960822650712,low-to-moderate correlation / partial independence
AGR2,SDC1,0.42747807269657895,0.8187216314358295,0.797752808988764,1.0,0.6376811594202898,0.9508196721311475,0.34277376269909754,0.2900457034734938,0.08453034283497024,0.18728802315423201,0.8465634101350503,0.0685547525398195,0.0187288023154232,0.7592798552798077,low-to-moderate correlation / partial independence
PLAC8,SDC1,0.6220726772459807,0.8187216314358295,0.7921348314606742,1.0,0.6376811594202898,0.9508196721311475,0.4246835927860708,0.023424625728514163,0.08453034283497024,0.053977484281742205,0.8451589157530279,0.08493671855721417,0.005397748428174221,0.7548244487676395,moderate correlation
