gene,mean_pdac,mean_normal,log2fc,p_value,auc,fdr,log_fdr_x,mean_pdac_val,mean_normal_val,log2fc_val,p_value_val,auc_val,fdr_val,log_fdr_y,stability_score
LAMA3,6.041473033707865,0.6765263473053893,5.364946686402476,2.072310181061937e-55,0.9883435376438136,1.8421548211955891e-53,52.734673872963604,5.885299710144927,4.643436721311476,1.241862988833451,4.684040179948676e-15,0.8990258968876218,1.8738971143902674e-11,10.72725425756734,0.9436847172480339
LAMC2,6.651151123595506,-0.1880233532934132,6.839174476888919,7.863213222707313e-53,0.9764515911996231,1.7079528876507866e-51,50.76752411310573,7.30351536231884,4.657405573770492,2.6461097885483476,9.30317135103661e-16,0.9092421002613447,1.0545096188278471e-11,10.976949454440565,0.9428468457205416
TSPAN1,7.57738426966292,1.0808395209580839,6.496544748704836,1.1815920102773842e-55,0.9894536769158312,1.310962908220823e-53,52.88240959586362,6.91471347826087,4.530672295081967,2.384041183178903,8.461172356753277e-15,0.8952245188880968,2.021277226500418e-11,10.694374117121779,0.9423390978829168
SLC2A1,6.931041573033708,1.3653784431137725,5.565663129919935,4.904575830498238e-56,0.9911861669918589,8.40102212650343e-54,53.07566787145063,7.531562173913043,5.864314590163935,1.6672475837491083,1.134858815952855e-14,0.8933238298883345,2.021277226500418e-11,10.694374117121779,0.9422549984210512
COL17A1,5.246620224719101,-3.8837467065868267,9.130366931305929,4.2689869196561617e-54,0.9823218731077172,1.4832830530271508e-52,51.828775965196904,5.810166521739131,4.162335409836066,1.6478311119030646,2.9953593168828192e-15,0.9018769303872654,1.497904310390176e-11,10.824515929491618,0.9420994017333796
CDH3,5.170007303370786,-1.2802449101796407,6.450252213550427,1.6516347738615243e-56,0.9933223440758931,5.240668882738977e-54,53.28061327913391,5.720421449275364,4.290745737704918,1.4296757115704457,2.619503652797069e-14,0.8878593490140175,2.7577858719420936e-11,10.559439457610551,0.9405908465190158
DNTTIP1,5.615598314606741,2.47169880239521,3.143899512211531,1.8786645249742837e-56,0.9930700396958891,5.240668882738977e-54,53.28061327913391,6.058345797101449,5.40264475409836,0.6557010430030887,2.619503652797069e-14,0.8878593490140176,2.7577858719420936e-11,10.559439457610551,0.9404646943290175
STYK1,1.879526404494382,-5.054156886227545,6.933683290721928,1.4171866052522892e-54,0.9845253313597524,6.391086106411421e-53,52.19442533120947,4.007133188405799,2.978756721311475,1.0283764670943238,8.155484052343968e-15,0.8954621050130672,2.021277226500418e-11,10.694374117121779,0.93999371816741
LAMB3,6.999462921348314,0.12672994011976046,6.872732981228554,3.3716904124637306e-52,0.9734912198075758,6.19175536214852e-51,50.2081862110732,6.464281594202898,4.379703606557377,2.0845779876455213,1.5815271991618964e-15,0.9059158945117605,1.0545096188278471e-11,10.976949454440565,0.9397035571497588
MBOAT2,4.2217617977528095,-0.11327604790419163,4.335037845657001,1.0726233988836029e-54,0.9850804009957613,5.245020979131915e-53,52.28025277036785,6.040442318840579,4.4909988524590165,1.5494434663815628,1.2210306963896576e-14,0.8928486576383939,2.021277226500418e-11,10.694374117121779,0.9389645292980986
PYGB,6.310935393258427,3.2190059880239525,3.091929405234475,9.227567632051584e-56,0.989941465383839,1.1404222351333626e-53,52.942934323718255,6.580828405797101,5.67101131147541,0.9098170943216912,3.137191157496783e-14,0.8866714183891661,3.1376617361704075e-11,10.503393878477933,0.9383064418570618
AMIGO2,4.150980898876404,0.2284437125748503,3.922537186301554,1.1193006039648013e-53,0.9803875395276862,3.267052749420131e-52,51.485843853404226,5.3479152173913045,4.666145573770491,0.6817696436208136,1.2210306963896576e-14,0.8928486576383939,2.021277226500418e-11,10.694374117121779,0.9366180985641085
ITGB4,7.444093820224718,2.7550898203592817,4.689003999865436,1.613067549386072e-50,0.9655352216914485,2.1206263489808233e-49,48.67353584674568,6.2372771014492745,5.003835081967213,1.2334420194820614,1.5815271991618964e-15,0.9059158945117605,1.0545096188278471e-11,10.976949454440565,0.9357255580917371
