gene,threshold_std_instability,threshold_iqr
MISP,0.29398990912350004,0.3148972533575113
OCIAD2,0.00957360595802697,0.010722578324040555
MMP12,0.02207993458626133,0.026331536698443125
CCNB1,0.04176615865950621,0.0449482187628647
AGR2,0.2900457034734938,0.3084794816233119
PLAC8,0.023424625728514163,0.028197236232326395
LAMA3,0.40231310213542243,0.47947564356671574
CEACAM5,0.09847649330690951,0.11771440451893961
MMP9,0.0779806405713783,0.08620129073675908
CST1,0.2613835538362081,0.303714808607933
GRN,0.022702682080163877,0.027492393510857638
RCN1,0.041475064871972264,0.045652598161817104
CTTN,0.13151024790823873,0.1403224424213937
SDC1,0.08453034283497024,0.09410143932099857
TPX2,0.17221193540680635,0.18563160873350038
TOP2A,0.12468589671829405,0.13784867675282275
PTPRR,0.02621672664746668,0.030249095474613186
ETV1,0.02482275843931166,0.026901639910445807
DOCK5,0.05120461081083721,0.05693785500365678
EDIL3,0.03610149953278518,0.04312877395553194
DNTTIP1,0.013590724254201294,0.014415139922073328
DSG2,0.0709994055652357,0.07530624170308808
CAPN9,0.2016655848611086,0.21721118145266294
ANKLE2,0.004269873992884083,0.004528885282770623
CDH3,0.1512701316705805,0.1606059407998689
COL17A1,0.39389582847519694,0.4819240923144145
DPCR1,0.0,0.0
COLGALT1,0.04339731321461733,0.04602980168899873
LMNB1,0.030689039486403287,0.032550641893406285
UACA,0.04314484111391227,0.04576201458729534
SPARC,0.08688946638151579,0.09216019633807548
NT5C2,0.03930337723650222,0.04607967469592544
TXN,0.015599869785909371,0.01654616056686542
PLS1,1.1102230246251565e-16,0.0
RNF145,0.38051362907585307,0.40359565118015756
LOXL1,0.046101545049522054,0.04889807269154123
SLC16A1,0.12354264919498564,0.14963900936936647
CLDN12,0.0,0.0
PKM,0.005155450437644578,0.00628366874501296
PYGB,0.017308592920477872,0.018358535140301058
IDO1,0.18228862782295413,0.20053476984376406
PSMB8,0.39461831759543303,0.41855593252823603
TMEM173,0.011366255750379306,0.01205573477669064
MMP13,0.013220534326951576,0.014022494210245484
PXDN,1.1102230246251565e-16,0.0
CALM2,0.24465110344867963,0.25949168140999934
SLC44A4,0.0,0.0
LGR5,0.22516633370614025,0.23882496218778732
TIMP1,0.0,0.0
KIF4A,0.044956748123976195,0.050131975686199426
NEK2,0.29785160306362596,0.33896018244192644
FBXL2,1.1102230246251565e-16,0.0
TFF1,0.0,0.0
HCP5,1.1102230246251565e-16,0.0
RNF149,0.02758570832693419,0.02925906213271412
GRAMD3,1.1102230246251565e-16,0.0
FAM91A1,0.0441005539092759,0.046775701084997845
MMP1,0.03590630757258835,0.03808439035792066
AMIGO2,1.1102230246251565e-16,0.0
IL18,0.37691098176928484,0.3997744666691107
GPX2,0.0,0.0
CLDN4,0.05168059952881,0.05481555357391177
FAR2,0.0,0.0
MXRA5,0.0,0.0
TINAGL1,0.0,0.0
UBA6,0.05676712082213529,0.06021062412265188
OLFML2B,0.08251690883222558,0.08752239869672829
ADAM22,0.03308730008969059,0.03509438139686172
NCEH1,0.08044802140369153,0.0853280122013862
IFI44,0.2940521683555983,0.31188942340027775
GBP2,0.01101883664149788,0.011687241164984874
NMU,0.00984584348029827,0.010443094037130396
IFI44L,0.0,0.0
GPSM2,0.07264544770627254,0.07705213304315706
SLC5A3,0.08082749361464929,0.09570442485401243
PDGFC,0.0,0.0
TYMS,0.0,0.0
MVP,0.0,0.0
LGALS3BP,0.0022947028381113967,0.002809786331531283
KIAA1551,0.06864359187757836,0.07280752395245615
MMP11,0.046308316406777884,0.04911738683484734
SEMA3C,0.0,0.0
CRIP1,0.32801023999566403,0.363592071158017
PTK7,0.0,0.0
FXYD5,0.0521955610995021,0.06381519103288724
MIR31HG,0.0,0.0
MUC4,0.22253081095205648,0.23846149717288478
TIMP2,1.1102230246251565e-16,0.0
RHPN2,1.1102230246251565e-16,0.0
CNN2,0.2853123411919471,0.3026194368195535
MUC16,0.0,0.0
ESM1,0.004301294305049171,0.004562211556468965
TMEM45B,0.004146143103672992,0.0043976488565654615
NMI,0.20649482084980358,0.2190208321541961
SLC2A1,0.002174123506810707,0.0023060062122043368
MFAP2,0.08612458888636199,0.09134892124267513
RASA2,0.3858242292880451,0.4142470767254449
NQO1,0.03148378002405277,0.03844418081194201
LGALS1,1.1102230246251565e-16,0.0
L3MBTL3,0.0,0.0
CDH2,0.01804964768788672,0.019144542417199206
UBE2T,0.0037013167642305973,0.004531310468421479
IL1R2,0.0,0.0
SERPINH1,0.0,0.0
PIAS3,0.03787164770209293,0.04175923398549375
IQGAP1,0.0,0.0
ABHD17C,0.025035240951861337,0.02668316678185345
POSTN,0.006051809103109527,0.007343932367828043
SLFN13,0.0,0.0
IFI27,0.06471985356170276,0.07916342859319836
DYNLT1,0.038427724169668935,0.0407587565189087
LAMB3,0.3008673732902427,0.31911803983697246
SPDL1,0.027479677575269736,0.0291465995374397
GREB1L,0.17740035712204041,0.188161493258865
PARP14,1.1102230246251565e-16,0.0
APBB2,0.0,0.0
IL2RA,0.0,0.0
RBMS1,0.04790962381895114,0.05081582982971533
CDC6,0.0,0.0
MMP3,5.551115123125783e-17,0.0
LINC01559,0.0,0.0
SRPX2,0.08881497433027821,0.0942025059297733
CEACAM1,0.01605491646594696,0.017782554980019682
VSNL1,0.0,0.0
IFITM10,0.13840163267897218,0.14679709949188635
STIL,0.0,0.0
CTSK,0.0,0.0
OXR1,0.054473746342413754,0.05777813315303504
CEP55,0.009222862059401612,0.009782322456226566
ST6GALNAC1,0.0,0.0
TSPAN8,0.0,0.0
CSGALNACT2,0.0,0.0
CLIP4,0.0,0.0
COL1A1,1.1102230246251565e-16,0.0
NEK7,0.32894302081894533,0.35037836526309196
ELK3,0.0028055905572017,0.0029757781623453994
MAML2,0.04188314329957645,0.04442378196680763
CHST11,0.07627683518351062,0.08090380110856343
CEP170,0.0,0.0
MYO1D,0.0,0.0
RAB23,0.08440125689304794,0.0895210516346131
CORO1C,1.1102230246251565e-16,0.0
SPRY4,0.0,0.0
WNT2,0.0,0.0
