gene_A,gene_B,target_coexpr,pooled_off_target_coexpr,max_off_target_coexpr,max_off_target_compartment,patient_positive_rate,correlation,annotation_version,threshold_profile,bulk_auc,threshold_instability,final_score
S100A14,GPX1,0.6060649000991923,0.0922607701105604,0.247787610619469,mast cells,1.0,0.0929566181420156,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9628607952634057,0.047610623051078924,1.5733736294707712
S100A14,EZR,0.6250531387275046,0.0890837463464226,0.2123893805309734,mast cells,1.0,0.2625350997356642,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9566036466393056,0.025489673349319647,1.5619673695418608
S100A14,APLP2,0.6155590194133485,0.0823484559664506,0.2300884955752212,mast cells,1.0,0.1860083111425743,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9605732355513691,0.042871655503494324,1.551737273397872
EZR,TMC5,0.6057814935525011,0.0875587749396365,0.2212389380530973,mast cells,1.0,0.2713392382788285,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9693534279755097,0.05808005490251858,1.496284760977961
S100A16,S100A14,0.6130083604931273,0.0865421273351124,0.2389380530973451,mast cells,1.0,0.3811372508259612,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9583529570073337,0.01970635560808805,1.4894335672808319
S100A14,GPRC5A,0.6025223182655519,0.086923370186809,0.247787610619469,mast cells,1.0,0.4416306570230763,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9514229967032227,0.019468059593825967,1.4438839383845636
S100A14,TSPAN8,0.6124415473997449,0.0920066082094294,0.2389380530973451,mast cells,0.9375,0.4027433215060888,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9549888986072799,0.005465559661345298,1.4412480654341997
S100A14,OCIAD2,0.6575031883236503,0.0853983987800228,0.2566371681415929,mast cells,1.0,0.3866217765884308,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9690506627195048,0.04595216212789997,1.4271982820278966
S100A14,C19orf33,0.6361059940484625,0.093912822467912,0.2743362831858407,mast cells,1.0,0.4084379447377073,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9566372872233062,0.029106920522241557,1.4198681906241288
S100A6,ITGB4,0.6037976477256625,0.0965815224297877,0.3893805309734513,mast cells,1.0,-0.1880614815307775,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9868128910717889,0.06261253906282899,1.378176541207291
TSPAN8,TMC5,0.613858580133201,0.0889566653958571,0.2654867256637168,mast cells,0.9375,0.4416298091955712,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9597322209513557,0.016999218319351552,1.37693215405115
OCIAD2,TMC5,0.6134334703131642,0.0837463464226712,0.2566371681415929,mast cells,0.9375,0.3439065382610927,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9804211801116868,0.07165409166276002,1.3460225595140276
S100A14,SMIM22,0.6335553351282415,0.0964544414792222,0.247787610619469,mast cells,0.9375,0.4423833381001285,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget,0.9532059476552514,0.047234421494030204,1.3272578249976577
