gene_A,gene_B,target_coexpr,pooled_off_target_coexpr,max_off_target_coexpr,max_off_target_compartment,patient_positive_rate,correlation,annotation_version,threshold_profile
S100A14,OCIAD2,0.6575031883236503,0.08539839878002288,0.25663716814159293,mast cells,1.0,0.38662177658843083,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget
S100A14,C19orf33,0.6361059940484625,0.09391282246791206,0.2743362831858407,mast cells,1.0,0.40843794473770734,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget
S100A14,EZR,0.6250531387275046,0.08908374634642267,0.21238938053097345,mast cells,1.0,0.2625350997356642,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget
S100A14,APLP2,0.6155590194133485,0.08234845596645063,0.23008849557522124,mast cells,1.0,0.18600831114257438,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget
S100A16,S100A14,0.6130083604931273,0.08654212733511246,0.23893805309734514,mast cells,1.0,0.3811372508259612,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget
S100A14,GPX1,0.6060649000991923,0.09226077011056043,0.24778761061946902,mast cells,1.0,0.09295661814201565,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget
EZR,TMC5,0.6057814935525011,0.08755877493963656,0.22123893805309736,mast cells,1.0,0.27133923827882855,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget
S100A14,ATP5J2,0.6037976477256625,0.09518363197356716,0.25663716814159293,mast cells,1.0,0.1394270738872317,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget
S100A6,ITGB4,0.6037976477256625,0.09658152242978778,0.3893805309734513,mast cells,1.0,-0.18806148153077754,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget
S100A14,GPRC5A,0.6025223182655519,0.086923370186809,0.24778761061946902,mast cells,1.0,0.4416306570230763,v5_heuristic_marker_metadata,exploratory_relaxed_v5_0p60_target_0p10_pooled_offtarget
